"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Klara Bühl","GER","FW","24-288",2.5,23,9.2,12,9,1,0,1,0,5,2,2,3,0,0,0,0,"https://fbref.com/en/players/4d0c6dc5/Klara-Buhl","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Vanessa Gilles","CAN","DF","29-194",2.5,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a179cd70/Vanessa-Gilles","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Sarah Zadrazil","AUT","MF","32-214",2.3,7,3.04,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/45ffafbf/Sarah-Zadrazil","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Georgia Stanway","ENG","MF","26-261",2.2,5,2.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/89c43b54/Georgia-Stanway","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","MF,FW","20-137",2,11,5.38,8,1,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Pernille Harder","DEN","FW,MF","32-310",2,7,3.46,4,0,0,2,1,0,2,0.99,1,0,0,1,0,0,"https://fbref.com/en/players/363b99a4/Pernille-Harder","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Ena Mahmutovic","GER","GK","21-272",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a184766b/Ena-Mahmutovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","FW","30-301",1.9,2,1.05,1,0,1,0,0,0,2,1.05,1,0,1,0,0,0,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF","20-332",1.8,4,2.26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Carolin Simon","GER","DF","32-301",1.7,8,4.71,5,2,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/aaf0780f/Carolin-Simon","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
"2025-2026","Bayern Munich","Frauen-Bundesliga","Lena Oberdorf","GER","MF","23-276",1.5,5,3.28,4,0,0,0,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/74a0529b/Lena-Oberdorf","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","gca"
