League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,0,0.6,NA,1,0,Stade de Reims,4-1-4-1,0,0.4,NA,4,0,Stade de Reims,Away,NA,990,348,310,36,9,1,1,13,14,4,4,0,0,247,2,3
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Dijon,Home,NA,990,396,346,49,8,0,0,10,27,1,1,0,0,263,1,4
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Lille,Away,NA,990,435,359,74,12,0,1,15,46,5,3,0,0,298,2,15
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Bordeaux,Home,NA,990,246,198,44,10,0,0,8,19,3,3,0,0,146,4,4
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Le Havre,Away,NA,990,538,472,62,18,0,0,30,28,10,9,0,0,402,4,10
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Saint-Étienne,Home,NA,990,247,179,67,18,0,1,11,38,1,1,0,0,127,1,5
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Montpellier,Away,NA,990,409,337,68,26,0,1,27,27,5,3,1,1,280,4,6
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Paris Saint-Germain,Home,NA,990,427,375,51,14,0,1,17,20,9,1,7,0,320,1,8
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Lyon,Away,NA,990,443,396,46,9,0,1,17,22,9,5,2,0,343,1,9
Championnat de France de Football Féminin,2023-10-06,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,0,0.3,NA,4,0,Paris Saint-Germain,4-3-3,1,1.3,Tabitha Chawinga · 6&rsquor;,1,0,Saint-Étienne,Home,NA,990,280,235,45,15,0,3,12,18,2,1,0,0,190,0,7
