League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),SGS Essen,4-3-3,2.0,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0.0,0.8,,2,0,SGS Essen,Home,,990.0,2,2,0,0,9,4,1,0,399.0,23.0,11,25.0,0.6,0.6,0.4,14.0,4.0,142.0,270.0,52.6,22.0,154.0,22.0,33.0,15.0,,,,,,,,
Frauen-Bundesliga,2023-09-17,Frauen-Bundesliga (Matchweek 1),SGS Essen,4-3-3,2.0,0.6,Annalena Rieke · 50&rsquor; Laureta Elmazi · 78&rsquor;,1,0,Eintracht Frankfurt,4-3-3,0.0,0.8,,2,0,Eintracht Frankfurt,Away,,990.0,0,0,0,0,9,2,2,0,764.0,26.0,14,10.0,0.8,0.8,0.8,16.0,0.0,514.0,649.0,79.2,71.0,466.0,15.0,12.0,6.0,,,,,,,,
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3.0,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,SGS Essen,4-3-3,2.0,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,RB Leipzig,Home,,990.0,3,2,0,0,8,5,3,0,489.0,31.0,18,9.0,0.2,0.2,0.2,10.0,4.0,238.0,364.0,65.4,29.0,207.0,10.0,25.0,10.0,,,,,,,,
Frauen-Bundesliga,2023-09-29,Frauen-Bundesliga (Matchweek 2),RB Leipzig,4-1-3-2,3.0,0.2,Vanessa Fudalla · 15&rsquor; Frederike Kempe · 23&rsquor; Vanessa Fudalla · 77&rsquor;,3,0,SGS Essen,4-3-3,2.0,1.1,Natasha Kowalski · 6&rsquor; Ramona Maier · 90+7&rsquor;,1,0,SGS Essen,Away,,990.0,2,0,0,0,13,5,1,0,638.0,25.0,10,8.0,1.2,1.2,0.4,20.0,2.0,380.0,511.0,74.4,43.0,329.0,18.0,37.0,19.0,,,,,,,,
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6.0,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0.0,0.2,,2,0,Bayer Leverkusen,Home,,990.0,6,3,0,0,22,11,1,0,607.0,12.0,20,11.0,3.1,3.1,2.5,37.0,9.0,433.0,521.0,83.1,67.0,425.0,23.0,19.0,18.0,,,,,,,,
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6.0,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0.0,0.2,,2,0,1. FC Nürnberg,Away,,990.0,0,0,0,0,3,1,2,0,386.0,20.0,11,16.0,0.2,0.2,0.1,5.0,0.0,210.0,286.0,73.4,8.0,224.0,2.0,4.0,4.0,,,,,,,,
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1.0,1.5,Michelle Ulbrich · 70&rsquor;,3,0,TSG 1899 Hoffenheim,4-3-3,3.0,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Werder Bremen,Home,,990.0,1,0,0,0,12,5,3,0,532.0,20.0,8,13.0,1.6,1.6,0.8,15.0,1.0,244.0,407.0,60.0,35.0,143.0,8.0,21.0,5.0,,,,,,,,
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1.0,1.5,Michelle Ulbrich · 70&rsquor;,3,0,TSG 1899 Hoffenheim,4-3-3,3.0,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,TSG 1899 Hoffenheim,Away,,990.0,3,3,0,1,20,8,2,0,524.0,25.0,11,16.0,3.1,2.3,1.9,26.0,3.0,235.0,378.0,62.2,16.0,181.0,7.0,12.0,7.0,,,,,,,,
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2.0,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,VfL Wolfsburg,4-2-3-1,4.0,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Eintracht Frankfurt,Home,,990.0,2,1,1,1,5,4,0,0,516.0,15.0,13,12.0,1.4,0.6,0.4,10.0,4.0,276.0,419.0,65.9,33.0,152.0,6.0,21.0,9.0,,,,,,,,
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2.0,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,VfL Wolfsburg,4-2-3-1,4.0,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,VfL Wolfsburg,Away,,990.0,4,3,0,0,20,8,1,0,629.0,32.0,22,13.0,1.8,1.8,1.6,35.0,7.0,341.0,479.0,71.2,40.0,243.0,11.0,14.0,11.0,,,,,,,,
