matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals,home_BallPossesion,away_BallPossesion,home_total_shots,away_total_shots,home_ShotsOnTarget,away_ShotsOnTarget,home_big_chance,away_big_chance,home_big_chance_missed_title,away_big_chance_missed_title,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_corners,away_corners,home_ShotsOffTarget,away_ShotsOffTarget,home_blocked_shots,away_blocked_shots,home_shots_woodwork,away_shots_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half_passes,away_own_half_passes,home_opposition_half_passes,away_opposition_half_passes,home_long_balls_accurate,away_long_balls_accurate,home_accurate_crosses,away_accurate_crosses,home_player_throws,away_player_throws,home_touches_opp_box,away_touches_opp_box,home_Offsides,away_Offsides,home_matchstats_headers_tackles,away_matchstats_headers_tackles,home_interceptions,away_interceptions,home_shot_blocks,away_shot_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duel_won,away_duel_won,home_ground_duels_won,away_ground_duels_won,home_aerials_won,away_aerials_won,home_dribbles_succeeded,away_dribbles_succeeded,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,season
3952568,2022-10-15 11:30:00+00:00,231494,Aston Villa,231497,West Ham United,True,1,2,68,32,20,9,7,3,2,3,2,1,373,116,5,11,13,2,6,3,7,3,0,0,15,7,5,2,490,239,165,64,208,52,31,17,11,1,39,21,38.0,17.0,5,3,18,25,13,22,3,6,3,8,1,6,39,45,35,34,4,11,6,5,1,2,0,1,2022-2023
3952582,2022-10-16 11:00:00+00:00,954396,Manchester United,231505,Brighton,True,4,0,59,41,19,8,7,2,3,0,0,0,467,279,2,7,5,3,4,3,8,3,0,0,9,7,10,1,560,377,282,202,185,77,21,15,2,4,29,15,28.0,18.0,3,0,10,16,3,10,3,7,12,10,2,3,24,25,19,21,5,4,2,3,1,2,0,0,2022-2023
3952569,2022-10-16 12:00:00+00:00,258663,Everton,258661,Chelsea,True,1,3,50,50,10,22,1,8,0,2,0,1,404,410,12,6,4,4,3,10,6,4,0,2,5,15,5,7,493,491,251,172,153,238,23,41,2,4,28,16,12.0,51.0,2,4,10,25,11,15,4,6,21,9,5,1,30,54,24,45,6,9,8,8,0,0,0,0,2022-2023
3952584,2022-10-16 13:00:00+00:00,628117,Tottenham Hotspur,258665,Liverpool,True,1,0,52,48,18,10,3,3,1,0,1,0,322,299,10,5,9,1,8,3,7,4,2,0,11,7,7,3,426,400,188,195,134,104,25,23,6,4,14,29,21.0,20.0,3,0,23,11,16,18,4,7,23,15,3,3,45,42,30,30,15,12,2,9,3,2,0,0,2022-2023
3952570,2022-10-16 13:00:00+00:00,231488,Manchester City,614954,Leicester City,True,4,0,76,24,23,4,8,0,4,0,1,0,592,151,8,7,8,1,11,2,4,2,2,0,20,2,3,2,659,207,316,115,276,36,24,15,7,1,27,10,39.0,2.0,0,4,10,16,3,21,2,4,1,28,0,4,23,26,21,25,2,1,4,1,1,1,0,0,2022-2023
3952583,2022-10-16 17:45:00+00:00,231483,Reading FC Women,258657,Arsenal,True,0,1,32,68,7,21,3,6,0,3,0,3,112,381,12,9,4,10,0,8,4,7,1,1,6,15,1,6,224,479,64,221,48,160,14,26,2,3,18,21,7.0,39.0,0,4,15,14,16,5,7,4,9,16,5,3,35,40,27,32,8,8,3,7,4,2,0,0,2022-2023
3952555,2022-10-22 10:30:00+00:00,628117,Tottenham Hotspur,231488,Manchester City,True,0,3,33,67,3,20,0,8,0,0,0,0,241,565,10,7,1,6,3,7,0,5,0,0,1,14,2,6,319,650,174,374,67,191,17,24,3,6,15,24,14.0,28.0,2,1,22,13,6,4,5,0,26,7,5,0,39,28,35,26,4,2,6,3,1,1,0,0,2022-2023
3952551,2022-10-22 11:30:00+00:00,231494,Aston Villa,258663,Everton,True,0,1,42,58,13,10,2,4,1,1,1,0,327,500,17,4,5,4,7,1,4,5,0,0,7,8,6,2,409,598,140,330,187,170,22,33,8,2,26,17,36.0,22.0,1,0,22,25,12,13,3,4,3,23,3,2,35,57,30,49,5,8,4,8,1,1,0,0,2022-2023
3952554,2022-10-23 11:00:00+00:00,258665,Liverpool,258657,Arsenal,True,0,2,46,54,7,16,2,4,0,1,0,1,319,399,6,6,6,8,2,8,3,4,0,2,4,15,3,1,406,490,187,279,132,120,40,21,4,5,19,25,14.0,33.0,0,3,23,17,22,14,4,3,14,12,2,2,46,41,32,27,14,14,4,5,0,0,0,0,2022-2023
3952556,2022-10-23 14:00:00+00:00,231497,West Ham United,231483,Reading FC Women,True,3,2,55,45,12,14,5,3,4,1,2,0,312,218,6,10,0,5,7,10,0,1,1,0,10,7,2,7,451,357,218,90,94,128,21,43,4,5,20,29,22.0,28.0,2,4,20,12,11,18,1,0,23,10,1,2,41,29,34,19,7,10,4,1,2,3,0,0,2022-2023
3952553,2022-10-23 14:00:00+00:00,614954,Leicester City,954396,Manchester United,True,0,1,32,68,9,10,5,5,0,1,0,1,200,539,8,12,4,1,0,4,4,1,0,0,5,6,4,4,275,613,128,353,72,186,27,39,4,5,21,25,9.0,23.0,3,3,21,20,13,10,1,4,13,6,4,5,48,39,37,33,11,6,4,5,2,2,0,0,2022-2023
3952552,2022-10-23 17:45:00+00:00,231505,Brighton,258661,Chelsea,True,0,2,36,64,8,21,2,10,2,3,2,1,246,504,7,9,1,7,1,10,5,1,0,2,7,16,1,5,339,597,171,293,75,211,31,37,1,9,31,22,18.0,48.0,1,1,19,19,3,4,2,5,13,5,7,2,30,36,28,31,2,5,0,6,1,0,0,0,2022-2023
3952549,2022-10-30 14:00:00+00:00,231488,Manchester City,258665,Liverpool,True,2,1,60,40,21,11,8,4,5,1,3,0,372,213,4,6,8,3,8,5,5,2,0,0,16,7,5,4,461,322,206,166,166,47,24,22,8,3,26,26,34.0,15.0,1,0,13,13,16,10,3,6,22,15,2,5,46,32,25,19,21,13,6,2,0,0,0,0,2022-2023
3952548,2022-10-30 14:00:00+00:00,258663,Everton,954396,Manchester United,True,0,3,48,52,4,10,3,5,1,1,1,0,340,388,8,14,2,3,0,4,1,1,0,0,3,8,1,2,432,467,238,278,102,110,29,38,0,2,26,21,14.0,15.0,1,5,12,10,15,16,1,1,6,12,2,3,38,21,30,20,8,1,5,2,1,1,0,0,2022-2023
3952557,2022-10-30 14:00:00+00:00,258661,Chelsea,231494,Aston Villa,True,3,1,64,36,21,8,7,3,1,0,0,0,478,220,9,9,3,2,8,4,6,1,0,0,18,2,3,6,573,304,302,117,176,103,41,19,7,4,36,20,34.0,19.0,4,2,16,5,7,7,1,6,15,7,2,4,42,21,27,17,15,4,3,3,1,1,0,0,2022-2023
3952558,2022-10-30 14:00:00+00:00,231505,Brighton,628117,Tottenham Hotspur,True,0,8,48,52,14,20,6,14,0,3,0,0,304,360,4,6,3,6,2,3,6,3,0,0,7,14,7,6,417,453,206,222,98,138,15,22,0,3,33,24,13.0,33.0,2,3,19,25,11,16,3,5,8,23,6,6,32,39,30,33,2,6,5,4,0,1,0,0,2022-2023
3952550,2022-10-30 14:00:00+00:00,231483,Reading FC Women,614954,Leicester City,True,2,1,56,44,11,12,4,3,1,0,1,0,284,192,15,6,2,0,5,5,2,4,0,0,6,7,5,5,425,348,123,114,161,78,41,27,5,4,41,34,20.0,9.0,1,1,11,17,10,10,4,2,7,17,2,2,34,42,19,32,15,10,3,2,3,3,0,0,2022-2023
3952567,2022-10-30 18:45:00+00:00,258657,Arsenal,231497,West Ham United,True,3,1,71,29,19,9,10,3,3,1,1,0,490,142,13,14,8,4,4,3,5,3,1,0,15,6,4,3,597,240,281,90,209,52,45,13,5,4,23,22,33.0,9.0,0,0,12,14,11,9,3,5,12,16,2,7,36,31,29,25,7,6,3,1,0,3,0,0,2022-2023
3952561,2022-11-06 14:00:00+00:00,614954,Leicester City,258657,Arsenal,True,0,4,37,63,4,16,3,8,1,3,1,0,283,558,7,8,2,9,1,4,0,4,0,0,2,10,2,6,366,635,229,290,54,268,25,47,1,1,16,22,4.0,19.0,0,1,17,5,6,3,4,0,21,4,4,3,28,15,27,13,1,2,3,1,1,0,0,0,2022-2023
3952562,2022-11-06 14:00:00+00:00,258665,Liverpool,231494,Aston Villa,True,0,1,40,60,14,9,1,3,0,2,0,1,245,415,10,8,4,7,6,4,7,2,0,1,8,6,6,3,347,513,161,255,84,160,12,34,2,2,24,30,18.0,12.0,1,2,23,16,10,10,2,7,18,17,2,1,42,41,38,30,4,11,7,4,3,4,0,0,2022-2023
3952564,2022-11-06 14:00:00+00:00,231483,Reading FC Women,231488,Manchester City,True,0,3,23,77,3,19,0,5,0,1,0,0,90,547,6,7,5,5,2,9,1,5,0,0,1,16,2,3,184,625,50,256,40,291,21,33,1,6,19,15,7.0,39.0,3,0,13,9,16,5,5,1,19,5,4,0,26,32,19,22,7,10,0,7,1,0,0,0,2022-2023
3952566,2022-11-06 15:00:00+00:00,231497,West Ham United,231505,Brighton,True,4,5,47,53,7,15,3,7,3,4,2,0,213,244,12,8,1,7,4,6,0,2,0,2,6,10,1,5,335,370,105,121,108,123,29,21,1,3,41,30,21.0,28.0,2,3,14,8,14,20,2,0,30,9,2,0,37,35,26,24,11,11,4,4,2,2,0,0,2022-2023
3952563,2022-11-06 18:45:00+00:00,954396,Manchester United,258661,Chelsea,True,1,3,52,48,7,16,2,6,2,1,1,1,300,278,8,10,3,6,3,5,2,5,0,1,6,12,1,4,393,372,216,160,84,118,18,26,4,2,30,24,13.0,34.0,3,2,7,10,5,18,4,2,15,6,3,1,26,27,19,21,7,6,2,3,1,0,0,0,2022-2023
3952559,2022-11-19 15:00:00+00:00,258663,Everton,231488,Manchester City,True,1,2,48,52,7,25,4,8,0,6,0,4,400,436,3,9,4,9,2,14,1,3,0,2,6,19,1,6,498,525,322,209,78,227,16,34,4,7,12,19,11.0,38.0,2,3,16,19,20,15,4,1,13,13,5,3,37,39,29,33,8,6,4,11,1,2,0,0,2022-2023
3952595,2022-11-19 17:30:00+00:00,258657,Arsenal,954396,Manchester United,True,2,3,40,60,9,10,2,6,1,1,0,0,207,345,10,11,4,4,4,3,3,1,0,0,5,9,4,1,280,419,133,211,74,134,21,26,2,4,24,26,9.0,13.0,4,2,14,13,5,22,1,3,4,21,3,0,29,26,0,0,0,1,4,3,1,2,0,0,2022-2023
3952547,2022-11-20 13:00:00+00:00,258661,Chelsea,628117,Tottenham Hotspur,True,3,0,57,43,14,8,7,3,1,1,0,1,449,325,3,11,5,1,4,4,3,1,1,0,10,2,4,6,529,400,284,207,165,118,34,9,7,1,18,25,27.0,9.0,2,2,13,12,16,16,1,2,5,16,3,4,35,18,29,17,6,1,5,2,0,3,0,0,2022-2023
3952593,2022-11-20 14:00:00+00:00,231505,Brighton,258665,Liverpool,True,3,3,42,58,17,12,6,6,1,2,0,0,227,361,9,10,5,4,4,5,7,1,0,1,11,9,6,3,332,477,138,226,89,135,25,22,3,5,20,33,20.0,23.0,2,3,25,14,14,11,1,6,15,22,3,3,39,41,34,29,5,12,1,6,0,3,0,0,2022-2023
3952594,2022-11-20 14:00:00+00:00,231494,Aston Villa,231483,Reading FC Women,True,3,1,62,38,23,7,6,4,3,1,2,0,436,243,8,12,8,3,9,1,8,2,0,0,20,3,3,4,520,324,221,167,215,76,20,26,9,0,22,18,38.0,11.0,1,1,31,8,10,15,2,8,8,26,3,3,50,18,45,16,5,2,3,0,0,0,0,1,2022-2023
3952560,2022-11-20 15:00:00+00:00,231497,West Ham United,614954,Leicester City,True,1,0,45,55,8,17,2,3,1,2,1,2,196,271,13,13,3,6,3,7,3,7,0,2,5,11,3,6,318,388,97,146,99,125,21,27,1,6,32,35,10.0,25.0,3,5,8,12,6,8,8,3,16,16,2,1,41,40,26,31,15,9,5,6,2,0,0,0,2022-2023
3952579,2022-11-24 19:00:00+00:00,231483,Reading FC Women,258665,Liverpool,True,3,3,55,45,17,16,7,4,1,1,0,0,299,203,8,12,4,7,8,5,2,7,1,0,13,14,4,2,390,309,179,121,120,82,28,34,8,9,32,21,21.0,25.0,2,0,11,17,12,16,7,1,19,16,1,4,32,35,26,28,6,7,4,3,0,2,0,0,2022-2023
3952597,2022-12-03 12:30:00+00:00,954396,Manchester United,231494,Aston Villa,True,5,0,62,38,18,13,9,4,4,0,0,0,469,260,8,10,1,5,3,6,6,3,0,0,14,8,4,5,536,327,252,142,217,118,21,31,6,4,19,23,33.0,17.0,5,3,16,14,9,11,3,6,13,15,4,4,31,28,28,27,3,1,2,5,0,1,0,0,2022-2023
3952601,2022-12-03 14:00:00+00:00,258657,Arsenal,258663,Everton,True,1,0,56,44,33,11,14,5,3,1,3,1,425,305,10,10,15,3,8,1,11,5,0,0,22,8,11,3,502,400,248,231,177,74,44,17,6,4,20,19,46.0,14.0,1,0,10,10,4,7,5,10,6,18,5,12,28,28,25,27,3,1,5,7,0,2,0,0,2022-2023
