League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Hoffenheim,4-2-3-1,1,1.5,Jill Janssens · 45+4&rsquor;,1,0,Werder Bremen,3-5-2,1,1.4,Rieke Dieckmann · 45&rsquor;,2,0,Werder Bremen,Away,NA,990,252,396,63.6,5437,2525,67,94,71.3,143,181,79,38,106,35.8,1,0.3,1,4,23,12,3,44
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Köln,4-2-3-1,0,0.3,NA,1,0,Bayern Munich,4-2-3-1,5,3,Linda Dallmann · 18&rsquor; Janina Hechler (OG) · 34&rsquor; Lea Schüller · 45+3&rsquor; Georgia Stanway · 52&rsquor; Jovana Damnjanović · 64&rsquor;,2,0,Köln,Home,NA,990,247,357,69.2,4263,2083,116,140,82.9,102,144,70.8,23,53,43.4,0,0.3,0.3,4,13,4,0,35
Frauen-Bundesliga,2024-02-10,Frauen-Bundesliga (Matchweek 13),Köln,4-2-3-1,0,0.3,NA,1,0,Bayern Munich,4-2-3-1,5,3,Linda Dallmann · 18&rsquor; Janina Hechler (OG) · 34&rsquor; Lea Schüller · 45+3&rsquor; Georgia Stanway · 52&rsquor; Jovana Damnjanović · 64&rsquor;,2,0,Bayern Munich,Away,NA,990,567,669,84.8,11490,4107,185,214,86.4,301,333,90.4,77,107,72,3,2.7,2,15,50,12,1,60
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Wolfsburg,4-3-3,3,1.4,Stina Johannes (OG) · 57&rsquor; Lena Lattwein · 85&rsquor; Vivien Endemann · 90+3&rsquor;,2,0,Eintracht Frankfurt,4-1-3-2,0,0.6,NA,1,0,Wolfsburg,Home,NA,990,332,457,72.6,6297,3093,136,177,76.8,142,181,78.5,50,76,65.8,2,1.1,1,9,28,7,3,43
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Wolfsburg,4-3-3,3,1.4,Stina Johannes (OG) · 57&rsquor; Lena Lattwein · 85&rsquor; Vivien Endemann · 90+3&rsquor;,2,0,Eintracht Frankfurt,4-1-3-2,0,0.6,NA,1,0,Eintracht Frankfurt,Away,NA,990,328,447,73.4,5796,2757,124,148,83.8,162,203,79.8,30,53,56.6,0,0.3,0.3,3,23,3,1,39
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Freiburg,4-3-3,1,2.5,Janina Minge · 90+4&rsquor;,1,0,MSV Duisburg,4-2-3-1,1,0.3,Taryn Ries · 65&rsquor; Natalie Muth · 90+6&rsquor;,5,1,Freiburg,Home,NA,990,471,611,77.1,7625,2942,221,256,86.3,204,248,82.3,29,66,43.9,1,1.9,2.5,14,39,7,3,53
Frauen-Bundesliga,2024-02-11,Frauen-Bundesliga (Matchweek 13),Freiburg,4-3-3,1,2.5,Janina Minge · 90+4&rsquor;,1,0,MSV Duisburg,4-2-3-1,1,0.3,Taryn Ries · 65&rsquor; Natalie Muth · 90+6&rsquor;,5,1,MSV Duisburg,Away,NA,989,228,340,67.1,4548,2361,83,115,72.2,117,149,78.5,28,64,43.8,0,0.2,0.1,6,13,2,0,14
Frauen-Bundesliga,2024-02-12,Frauen-Bundesliga (Matchweek 13),1. FC Nürnberg,3-4-1-2,1,0.5,Selma Sól Magnúsdóttir · 49&rsquor;,4,0,Bayer Leverkusen,4-1-4-1,2,0.8,Melissa Friedrich · 28&rsquor; Emilie Bragstad · 59&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,271,394,68.8,4803,2289,107,129,82.9,115,148,77.7,30,71,42.3,1,0.4,0.2,6,12,5,2,21
Frauen-Bundesliga,2024-02-12,Frauen-Bundesliga (Matchweek 13),1. FC Nürnberg,3-4-1-2,1,0.5,Selma Sól Magnúsdóttir · 49&rsquor;,4,0,Bayer Leverkusen,4-1-4-1,2,0.8,Melissa Friedrich · 28&rsquor; Emilie Bragstad · 59&rsquor;,2,0,Bayer Leverkusen,Away,NA,990,320,436,73.4,6042,2418,124,148,83.8,163,201,81.1,33,72,45.8,2,0.7,0.6,8,18,2,1,24
Frauen-Bundesliga,2024-02-16,Frauen-Bundesliga (Matchweek 14),RB Leipzig,4-4-2,2,0.5,Vanessa Fudalla · 11&rsquor; Vanessa Fudalla · 90+1&rsquor;,0,0,Eintracht Frankfurt,4-1-3-2,1,2.3,Remina Chiba · 90+2&rsquor;,1,0,RB Leipzig,Home,NA,990,220,359,61.3,4345,2439,93,124,75,79,112,70.5,42,98,42.9,2,0.5,0.3,7,19,3,0,27
Frauen-Bundesliga,2024-02-16,Frauen-Bundesliga (Matchweek 14),RB Leipzig,4-4-2,2,0.5,Vanessa Fudalla · 11&rsquor; Vanessa Fudalla · 90+1&rsquor;,0,0,Eintracht Frankfurt,4-1-3-2,1,2.3,Remina Chiba · 90+2&rsquor;,1,0,Eintracht Frankfurt,Away,NA,990,472,627,75.3,8550,3650,185,226,81.9,224,264,84.8,49,85,57.6,0,1.9,1,14,31,13,5,54
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),1. FC Nürnberg,5-3-2,1,0.7,Vanessa Haim · 12&rsquor;,4,0,Wolfsburg,4-3-3,9,5.3,Vivien Endemann · 7&rsquor; Alexandra Popp · 34&rsquor; Ewa Pajor · 36&rsquor; Alexandra Popp · 38&rsquor; Chantal Hagel · 52&rsquor; Ewa Pajor (P) · 71&rsquor; Ewa Pajor · 79&rsquor; Fenna Kalma · 81&rsquor; Ewa Pajor · 90+1&rsquor;,2,0,1. FC Nürnberg,Home,NA,990,146,230,63.5,3182,1433,38,55,69.1,84,115,73,23,57,40.4,1,0.7,0.6,4,9,1,1,5
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),1. FC Nürnberg,5-3-2,1,0.7,Vanessa Haim · 12&rsquor;,4,0,Wolfsburg,4-3-3,9,5.3,Vivien Endemann · 7&rsquor; Alexandra Popp · 34&rsquor; Ewa Pajor · 36&rsquor; Alexandra Popp · 38&rsquor; Chantal Hagel · 52&rsquor; Ewa Pajor (P) · 71&rsquor; Ewa Pajor · 79&rsquor; Fenna Kalma · 81&rsquor; Ewa Pajor · 90+1&rsquor;,2,0,Wolfsburg,Away,NA,990,435,533,81.6,8920,3829,142,175,81.1,230,267,86.1,63,90,70,6,3.6,2.3,17,56,10,2,54
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),Werder Bremen,3-5-2,0,0.6,NA,1,0,Freiburg,4-3-3,3,1.5,Samantha Steuerwald · 33&rsquor; Lisa Kolb · 35&rsquor; Eileen Campbell · 50&rsquor;,2,0,Werder Bremen,Home,NA,990,205,345,59.4,4180,1970,83,128,64.8,78,103,75.7,40,85,47.1,0,0.6,0.6,5,11,3,1,20
Frauen-Bundesliga,2024-02-17,Frauen-Bundesliga (Matchweek 14),Werder Bremen,3-5-2,0,0.6,NA,1,0,Freiburg,4-3-3,3,1.5,Samantha Steuerwald · 33&rsquor; Lisa Kolb · 35&rsquor; Eileen Campbell · 50&rsquor;,2,0,Freiburg,Away,NA,990,304,439,69.2,5747,2470,125,163,76.7,132,175,75.4,45,74,60.8,0,0.7,0.9,8,25,9,3,32
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayer Leverkusen,3-4-3,1,0.7,Nikola Karczewska · 38&rsquor;,0,0,Hoffenheim,4-2-3-1,2,1.1,Sylwia Matysik (OG) · 1&rsquor; Fabienne Dongus · 75&rsquor;,3,0,Bayer Leverkusen,Home,NA,990,456,583,78.2,8767,2827,147,175,84,231,265,87.2,61,102,59.8,1,0.7,0.7,9,24,7,2,35
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayer Leverkusen,3-4-3,1,0.7,Nikola Karczewska · 38&rsquor;,0,0,Hoffenheim,4-2-3-1,2,1.1,Sylwia Matysik (OG) · 1&rsquor; Fabienne Dongus · 75&rsquor;,3,0,Hoffenheim,Away,NA,990,351,460,76.3,6476,2600,135,169,79.9,185,216,85.6,28,60,46.7,1,0.7,0.6,8,22,4,0,36
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayern Munich,4-2-3-1,2,2.6,Glódís Perla Viggósdóttir · 54&rsquor; Jovana Damnjanović · 79&rsquor;,0,0,Essen,4-3-3,0,0.4,NA,1,0,Bayern Munich,Home,NA,990,392,513,76.4,7387,3096,155,189,82,178,211,84.4,50,91,54.9,2,2.6,2,10,28,11,2,43
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),Bayern Munich,4-2-3-1,2,2.6,Glódís Perla Viggósdóttir · 54&rsquor; Jovana Damnjanović · 79&rsquor;,0,0,Essen,4-3-3,0,0.4,NA,1,0,Essen,Away,NA,990,258,403,64,5642,2557,80,115,69.6,124,162,76.5,53,113,46.9,0,0.4,0.5,8,23,3,1,27
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),MSV Duisburg,4-4-2,0,0.1,NA,1,0,Köln,4-2-3-1,0,1.3,NA,2,0,MSV Duisburg,Home,NA,990,286,416,68.8,5232,2210,126,152,82.9,121,160,75.6,34,79,43,0,0,0.6,1,11,4,1,14
Frauen-Bundesliga,2024-02-18,Frauen-Bundesliga (Matchweek 14),MSV Duisburg,4-4-2,0,0.1,NA,1,0,Köln,4-2-3-1,0,1.3,NA,2,0,Köln,Away,NA,990,438,569,77,8017,2822,171,205,83.4,208,249,83.5,48,90,53.3,0,1.3,0.7,14,32,5,2,40
Frauen-Bundesliga,2024-03-08,Frauen-Bundesliga (Matchweek 15),Essen,3-5-2,4,2.3,Natasha Kowalski (P) · 24&rsquor; Beke Sterner · 57&rsquor; Ramona Maier · 72&rsquor; Annika Enderle · 90+2&rsquor;,1,0,MSV Duisburg,4-3-3,1,0.9,Natalie Muth · 76&rsquor;,1,0,Essen,Home,NA,990,382,517,73.9,6892,3095,165,197,83.8,176,230,76.5,35,72,48.6,2,1.2,0.5,8,24,6,1,41
Frauen-Bundesliga,2024-03-08,Frauen-Bundesliga (Matchweek 15),Essen,3-5-2,4,2.3,Natasha Kowalski (P) · 24&rsquor; Beke Sterner · 57&rsquor; Ramona Maier · 72&rsquor; Annika Enderle · 90+2&rsquor;,1,0,MSV Duisburg,4-3-3,1,0.9,Natalie Muth · 76&rsquor;,1,0,MSV Duisburg,Away,NA,990,224,353,63.5,4730,2377,72,95,75.8,115,163,70.6,37,89,41.6,1,0.4,0.3,7,10,4,2,15
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Eintracht Frankfurt,4-3-1-2,1,1.5,Laura Freigang · 67&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.3,Klara Bühl · 21&rsquor; Lea Schüller · 77&rsquor;,1,0,Eintracht Frankfurt,Home,NA,990,378,502,75.3,6728,2565,164,195,84.1,168,195,86.2,37,83,44.6,1,1.1,1.5,10,26,12,6,43
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Eintracht Frankfurt,4-3-1-2,1,1.5,Laura Freigang · 67&rsquor;,1,0,Bayern Munich,4-2-3-1,2,1.3,Klara Bühl · 21&rsquor; Lea Schüller · 77&rsquor;,1,0,Bayern Munich,Away,NA,990,280,392,71.4,5148,2395,108,130,83.1,121,156,77.6,36,73,49.3,2,1.3,1,10,28,9,3,37
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Hoffenheim,4-3-3,2,2.2,Mara Alber · 14&rsquor; Mara Alber · 39&rsquor;,1,0,1. FC Nürnberg,5-3-2,0,0.7,NA,1,0,Hoffenheim,Home,NA,990,448,560,80,8898,3548,159,185,85.9,232,266,87.2,53,88,60.2,2,1.7,1,13,46,11,3,69
Frauen-Bundesliga,2024-03-09,Frauen-Bundesliga (Matchweek 15),Hoffenheim,4-3-3,2,2.2,Mara Alber · 14&rsquor; Mara Alber · 39&rsquor;,1,0,1. FC Nürnberg,5-3-2,0,0.7,NA,1,0,1. FC Nürnberg,Away,NA,990,208,304,68.4,3842,1976,78,100,78,108,138,78.3,20,56,35.7,0,0.5,0.3,8,13,5,1,19
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Köln,4-2-3-1,2,2.5,Marleen Schimmer (P) · 32&rsquor; Carlotta Wamser · 81&rsquor;,1,0,Werder Bremen,4-4-2,1,2.4,Jasmin Sehan · 76&rsquor;,3,0,Köln,Home,NA,990,215,322,66.8,4185,2235,82,106,77.4,93,125,74.4,34,67,50.7,1,1.5,0.9,10,16,4,1,26
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Köln,4-2-3-1,2,2.5,Marleen Schimmer (P) · 32&rsquor; Carlotta Wamser · 81&rsquor;,1,0,Werder Bremen,4-4-2,1,2.4,Jasmin Sehan · 76&rsquor;,3,0,Werder Bremen,Away,NA,990,246,375,65.6,4486,2032,109,147,74.1,106,142,74.6,28,73,38.4,1,1.4,1.6,8,24,11,3,40
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Freiburg,4-3-3,0,0.7,NA,1,0,Bayer Leverkusen,3-4-3,0,0.7,NA,0,0,Freiburg,Home,NA,990,374,531,70.4,7494,3161,119,168,70.8,206,260,79.2,46,85,54.1,0,0.6,0.7,9,34,5,2,44
Frauen-Bundesliga,2024-03-10,Frauen-Bundesliga (Matchweek 15),Freiburg,4-3-3,0,0.7,NA,1,0,Bayer Leverkusen,3-4-3,0,0.7,NA,0,0,Bayer Leverkusen,Away,NA,990,360,467,77.1,6732,3337,146,168,86.9,169,210,80.5,43,74,58.1,0,0.6,0.9,8,26,2,1,33
Frauen-Bundesliga,2024-03-11,Frauen-Bundesliga (Matchweek 15),Wolfsburg,4-3-3,4,3.9,Marina Hegering · 24&rsquor; Jule Brand · 40&rsquor; Sveindís Jane Jónsdóttir · 56&rsquor; Jule Brand · 89&rsquor;,1,0,RB Leipzig,4-4-2,0,0.2,NA,1,0,Wolfsburg,Home,NA,990,452,596,75.8,8290,3093,175,220,79.5,212,243,87.2,48,81,59.3,4,3,1.8,11,28,10,2,36
Frauen-Bundesliga,2024-03-11,Frauen-Bundesliga (Matchweek 15),Wolfsburg,4-3-3,4,3.9,Marina Hegering · 24&rsquor; Jule Brand · 40&rsquor; Sveindís Jane Jónsdóttir · 56&rsquor; Jule Brand · 89&rsquor;,1,0,RB Leipzig,4-4-2,0,0.2,NA,1,0,RB Leipzig,Away,NA,990,240,392,61.2,4285,2096,106,148,71.6,104,146,71.2,26,66,39.4,0,0.1,0.1,2,18,1,0,21
Frauen-Bundesliga,2024-03-15,Frauen-Bundesliga (Matchweek 16),Hoffenheim,4-2-3-1,2,1.1,Paulina Krumbiegel · 21&rsquor; Michaela Specht (P) · 70&rsquor; Franziska Harsch · 77&rsquor;,4,1,Wolfsburg,4-3-3,1,2.5,Jule Brand · 88&rsquor;,3,0,Hoffenheim,Home,NA,976,202,319,63.3,4421,2044,69,94,73.4,104,127,81.9,28,82,34.1,0,0.2,0.2,2,12,2,1,12
Frauen-Bundesliga,2024-03-15,Frauen-Bundesliga (Matchweek 16),Hoffenheim,4-2-3-1,2,1.1,Paulina Krumbiegel · 21&rsquor; Michaela Specht (P) · 70&rsquor; Franziska Harsch · 77&rsquor;,4,1,Wolfsburg,4-3-3,1,2.5,Jule Brand · 88&rsquor;,3,0,Wolfsburg,Away,NA,990,378,511,74,7190,3100,126,160,78.8,177,213,83.1,55,90,61.1,1,1.7,2.5,23,45,16,9,61
Frauen-Bundesliga,2024-03-16,Frauen-Bundesliga (Matchweek 16),Bayern Munich,4-2-3-1,5,4,Pernille Harder · 2&rsquor; Lea Schüller · 4&rsquor; Lea Schüller · 19&rsquor; Pernille Harder · 64&rsquor; Linda Dallmann · 90+2&rsquor;,2,0,RB Leipzig,4-4-2,0,0.9,NA,2,0,Bayern Munich,Home,NA,990,549,666,82.4,12079,3837,135,167,80.8,320,359,89.1,94,130,72.3,3,2.5,2.1,17,53,12,2,53
Frauen-Bundesliga,2024-03-16,Frauen-Bundesliga (Matchweek 16),Bayern Munich,4-2-3-1,5,4,Pernille Harder · 2&rsquor; Lea Schüller · 4&rsquor; Lea Schüller · 19&rsquor; Pernille Harder · 64&rsquor; Linda Dallmann · 90+2&rsquor;,2,0,RB Leipzig,4-4-2,0,0.9,NA,2,0,RB Leipzig,Away,NA,990,222,345,64.3,4015,1617,91,123,74,94,134,70.1,28,61,45.9,0,0.7,0.5,5,7,2,1,15
Frauen-Bundesliga,2024-03-16,Frauen-Bundesliga (Matchweek 16),Werder Bremen,3-5-2,0,0.7,NA,1,0,Essen,5-3-2,0,1.1,NA,2,0,Werder Bremen,Home,NA,990,309,438,70.5,5911,2705,112,138,81.2,134,173,77.5,46,82,56.1,0,0.6,0.7,5,32,6,2,37
Frauen-Bundesliga,2024-03-16,Frauen-Bundesliga (Matchweek 16),Werder Bremen,3-5-2,0,0.7,NA,1,0,Essen,5-3-2,0,1.1,NA,2,0,Essen,Away,NA,990,221,347,63.7,4884,2169,60,91,65.9,106,152,69.7,50,85,58.8,0,0.5,0.5,8,23,3,1,34
Frauen-Bundesliga,2024-03-17,Frauen-Bundesliga (Matchweek 16),1. FC Nürnberg,5-3-2,0,0.1,NA,3,0,Freiburg,4-3-3,0,1.5,NA,2,0,1. FC Nürnberg,Home,NA,990,125,267,46.8,2235,1312,51,78,65.4,59,104,56.7,11,59,18.6,0,0.1,0.2,2,12,3,1,14
Frauen-Bundesliga,2024-03-17,Frauen-Bundesliga (Matchweek 16),1. FC Nürnberg,5-3-2,0,0.1,NA,3,0,Freiburg,4-3-3,0,1.5,NA,2,0,Freiburg,Away,NA,990,395,563,70.2,6886,3020,166,209,79.4,151,193,78.2,51,94,54.3,0,1.3,1.2,12,33,13,6,53
Frauen-Bundesliga,2024-03-17,Frauen-Bundesliga (Matchweek 16),MSV Duisburg,3-4-3,1,0,Vanessa Furst · 63&rsquor;,0,0,Eintracht Frankfurt,4-3-1-2,2,2.7,Nicole Anyomi · 1&rsquor; Barbara Dunst · 4&rsquor;,1,0,MSV Duisburg,Home,NA,990,206,322,64,4082,1883,77,99,77.8,88,131,67.2,34,76,44.7,0,0,0.1,1,12,2,1,19
Frauen-Bundesliga,2024-03-17,Frauen-Bundesliga (Matchweek 16),MSV Duisburg,3-4-3,1,0,Vanessa Furst · 63&rsquor;,0,0,Eintracht Frankfurt,4-3-1-2,2,2.7,Nicole Anyomi · 1&rsquor; Barbara Dunst · 4&rsquor;,1,0,Eintracht Frankfurt,Away,NA,990,695,821,84.7,11230,4042,359,392,91.6,264,304,86.8,49,73,67.1,2,2.4,2,17,59,17,2,86
Frauen-Bundesliga,2024-03-18,Frauen-Bundesliga (Matchweek 16),Bayer Leverkusen,4-4-2,2,1.6,Lilla Turányi · 23&rsquor; Kristin Kögel · 73&rsquor;,0,0,Köln,4-2-3-1,0,1.1,NA,1,0,Bayer Leverkusen,Home,NA,990,365,494,73.9,6820,2895,141,170,82.9,172,207,83.1,43,83,51.8,2,1.6,0.8,14,28,9,1,43
Frauen-Bundesliga,2024-03-18,Frauen-Bundesliga (Matchweek 16),Bayer Leverkusen,4-4-2,2,1.6,Lilla Turányi · 23&rsquor; Kristin Kögel · 73&rsquor;,0,0,Köln,4-2-3-1,0,1.1,NA,1,0,Köln,Away,NA,990,338,467,72.4,5764,2204,158,188,84,144,172,83.7,29,71,40.8,0,1,0.6,11,16,4,2,29
Frauen-Bundesliga,2024-03-22,Frauen-Bundesliga (Matchweek 17),Freiburg,4-3-3,2,1.9,Lisa Karl · 68&rsquor; Leela Egli · 79&rsquor;,1,0,Hoffenheim,4-2-3-1,4,2.4,Marta Cazalla · 15&rsquor; Marta Cazalla · 47&rsquor; Melissa Kössler · 55&rsquor; Nicole Billa · 80&rsquor;,2,0,Freiburg,Home,NA,990,408,528,77.3,8084,3343,133,168,79.2,216,249,86.7,51,81,63,1,1.9,0.8,8,35,7,2,53
Frauen-Bundesliga,2024-03-22,Frauen-Bundesliga (Matchweek 17),Freiburg,4-3-3,2,1.9,Lisa Karl · 68&rsquor; Leela Egli · 79&rsquor;,1,0,Hoffenheim,4-2-3-1,4,2.4,Marta Cazalla · 15&rsquor; Marta Cazalla · 47&rsquor; Melissa Kössler · 55&rsquor; Nicole Billa · 80&rsquor;,2,0,Hoffenheim,Away,NA,990,343,459,74.7,6850,3117,124,143,86.7,171,203,84.2,45,87,51.7,3,2.2,1,14,28,8,1,53
Frauen-Bundesliga,2024-03-23,Frauen-Bundesliga (Matchweek 17),Köln,4-2-3-1,3,3.2,Selina Cerci · 80&rsquor; Celina Degen · 88&rsquor; Natalia Padilla-Bidas · 90+1&rsquor;,4,0,1. FC Nürnberg,5-3-2,4,1.8,Lara Schmidt (P) · 28&rsquor; Vanessa Haim · 50&rsquor; Celina Degen (OG) · 54&rsquor; Medina Dešić · 90+2&rsquor;,3,0,Köln,Home,NA,990,306,450,68,5353,2415,149,200,74.5,123,167,73.7,30,67,44.8,1,2.1,1.9,15,29,6,2,37
Frauen-Bundesliga,2024-03-23,Frauen-Bundesliga (Matchweek 17),Köln,4-2-3-1,3,3.2,Selina Cerci · 80&rsquor; Celina Degen · 88&rsquor; Natalia Padilla-Bidas · 90+1&rsquor;,4,0,1. FC Nürnberg,5-3-2,4,1.8,Lara Schmidt (P) · 28&rsquor; Vanessa Haim · 50&rsquor; Celina Degen (OG) · 54&rsquor; Medina Dešić · 90+2&rsquor;,3,0,1. FC Nürnberg,Away,NA,990,125,264,47.3,2481,1757,49,93,52.7,51,94,54.3,22,69,31.9,1,0.7,0.3,5,8,1,0,10
Frauen-Bundesliga,2024-03-23,Frauen-Bundesliga (Matchweek 17),Wolfsburg,4-3-3,0,1.4,NA,0,0,Bayern Munich,4-2-3-1,4,1.4,Pernille Harder · 48&rsquor; Klara Bühl · 57&rsquor; Lea Schüller · 75&rsquor; Georgia Stanway · 87&rsquor;,3,0,Wolfsburg,Home,NA,990,367,479,76.6,6933,2600,138,169,81.7,187,221,84.6,39,76,51.3,0,1.1,1,13,27,7,2,51
Frauen-Bundesliga,2024-03-23,Frauen-Bundesliga (Matchweek 17),Wolfsburg,4-3-3,0,1.4,NA,0,0,Bayern Munich,4-2-3-1,4,1.4,Pernille Harder · 48&rsquor; Klara Bühl · 57&rsquor; Lea Schüller · 75&rsquor; Georgia Stanway · 87&rsquor;,3,0,Bayern Munich,Away,NA,990,253,371,68.2,4824,2337,102,123,82.9,110,142,77.5,35,79,44.3,2,1.2,0.6,10,18,4,0,21
Frauen-Bundesliga,2024-03-24,Frauen-Bundesliga (Matchweek 17),RB Leipzig,4-1-3-2,3,2.5,Jenny Hipp (P) · 42&rsquor; Lydia Andrade · 62&rsquor; Jenny Hipp · 69&rsquor;,2,0,MSV Duisburg,4-2-3-1,0,1.3,NA,1,0,RB Leipzig,Home,NA,990,364,493,73.8,6002,2859,144,177,81.4,177,203,87.2,22,67,32.8,1,1.6,0.7,9,32,7,0,51
Frauen-Bundesliga,2024-03-24,Frauen-Bundesliga (Matchweek 17),RB Leipzig,4-1-3-2,3,2.5,Jenny Hipp (P) · 42&rsquor; Lydia Andrade · 62&rsquor; Jenny Hipp · 69&rsquor;,2,0,MSV Duisburg,4-2-3-1,0,1.3,NA,1,0,MSV Duisburg,Away,NA,990,311,442,70.4,6565,2803,94,121,77.7,167,206,81.1,47,92,51.1,0,0.9,1.1,9,19,5,1,27
Frauen-Bundesliga,2024-03-24,Frauen-Bundesliga (Matchweek 17),Essen,4-3-3,0,0.5,NA,2,0,Bayer Leverkusen,4-4-2,0,1.3,NA,3,0,Essen,Home,NA,990,247,383,64.5,5253,2176,75,108,69.4,132,171,77.2,39,88,44.3,0,0.4,0.2,3,19,1,1,22
Frauen-Bundesliga,2024-03-24,Frauen-Bundesliga (Matchweek 17),Essen,4-3-3,0,0.5,NA,2,0,Bayer Leverkusen,4-4-2,0,1.3,NA,3,0,Bayer Leverkusen,Away,NA,990,330,466,70.8,5462,2477,145,173,83.8,141,182,77.5,26,50,52,0,1.1,0.6,8,31,8,2,40
Frauen-Bundesliga,2024-03-25,Frauen-Bundesliga (Matchweek 17),Eintracht Frankfurt,4-3-1-2,2,1.2,Nicole Anyomi · 50&rsquor; Laura Freigang · 60&rsquor;,0,0,Werder Bremen,4-4-1-1,0,0.6,NA,1,0,Eintracht Frankfurt,Home,NA,990,450,578,77.9,8195,3236,182,222,82,237,284,83.5,31,57,54.4,1,1,1.2,11,45,10,2,65
Frauen-Bundesliga,2024-03-25,Frauen-Bundesliga (Matchweek 17),Eintracht Frankfurt,4-3-1-2,2,1.2,Nicole Anyomi · 50&rsquor; Laura Freigang · 60&rsquor;,0,0,Werder Bremen,4-4-1-1,0,0.6,NA,1,0,Werder Bremen,Away,NA,990,201,318,63.2,3486,1548,91,111,82,91,135,67.4,15,59,25.4,0,0.1,0.1,2,8,1,0,14
Frauen-Bundesliga,2024-04-12,Frauen-Bundesliga (Matchweek 18),Werder Bremen,4-3-3,1,0.7,Sophie Weidauer · 56&rsquor;,2,0,RB Leipzig,4-2-3-1,1,0.2,Barbara Brecht · 18&rsquor;,2,0,Werder Bremen,Home,NA,990,401,534,75.1,8450,3029,119,152,78.3,217,260,83.5,63,106,59.4,1,0.5,0.5,7,31,8,3,33
Frauen-Bundesliga,2024-04-12,Frauen-Bundesliga (Matchweek 18),Werder Bremen,4-3-3,1,0.7,Sophie Weidauer · 56&rsquor;,2,0,RB Leipzig,4-2-3-1,1,0.2,Barbara Brecht · 18&rsquor;,2,0,RB Leipzig,Away,NA,990,247,393,62.8,4320,1828,98,137,71.5,127,172,73.8,17,62,27.4,1,0,0,2,9,0,0,16
Frauen-Bundesliga,2024-04-13,Frauen-Bundesliga (Matchweek 18),Freiburg,4-3-3,1,1.5,Eileen Campbell · 59&rsquor;,0,0,Wolfsburg,4-3-3,4,2.5,Lena Oberdorf · 24&rsquor; Ewa Pajor · 27&rsquor; Ewa Pajor · 31&rsquor; Riola Xhemaili · 62&rsquor;,2,0,Freiburg,Home,NA,990,280,399,70.2,5997,2775,98,132,74.2,134,167,80.2,48,91,52.7,1,1.2,1,6,20,6,0,26
Frauen-Bundesliga,2024-04-13,Frauen-Bundesliga (Matchweek 18),Freiburg,4-3-3,1,1.5,Eileen Campbell · 59&rsquor;,0,0,Wolfsburg,4-3-3,4,2.5,Lena Oberdorf · 24&rsquor; Ewa Pajor · 27&rsquor; Ewa Pajor · 31&rsquor; Riola Xhemaili · 62&rsquor;,2,0,Wolfsburg,Away,NA,990,369,483,76.4,6454,3013,154,190,81.1,162,195,83.1,38,63,60.3,3,2.1,2.4,16,30,14,3,53
Frauen-Bundesliga,2024-04-13,Frauen-Bundesliga (Matchweek 18),Bayer Leverkusen,3-4-3,2,1.3,Loreen Bender · 36&rsquor; Nikola Karczewska · 90+3&rsquor;,1,0,Eintracht Frankfurt,4-3-1-2,0,1.6,NA,1,0,Bayer Leverkusen,Home,NA,990,260,376,69.1,4652,2274,118,151,78.1,103,136,75.7,31,71,43.7,1,0.3,0.3,4,8,5,2,13
