matchId,matchDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,isFinished,homeGoals,awayGoals
3664298,2021-12-12 11:45:00+00:00,862902,Fleury Merogis U.S,608066,GPSO 92 Issy,True,1,0
3664302,2021-12-12 11:45:00+00:00,612967,Saint-Etienne,1070036,Reims,True,0,1
3664299,2021-12-12 11:45:00+00:00,628136,ASJ Soyaux (W),606039,Montpellier (W),True,0,1
3664304,2022-01-15 13:30:00+00:00,1070036,Reims,862902,Fleury Merogis U.S,True,0,1
3664307,2022-01-15 13:30:00+00:00,862893,Paris FC,608066,GPSO 92 Issy,True,1,0
3664305,2022-01-15 13:30:00+00:00,606039,Montpellier,612967,Saint-Etienne,True,3,0
3664315,2022-01-22 13:30:00+00:00,608066,GPSO 92 Issy,597900,Guingamp,True,0,2
3664313,2022-01-22 13:30:00+00:00,862896,Bordeaux,1070036,Reims,True,3,1
3664312,2022-01-22 13:30:00+00:00,628136,ASJ Soyaux,862893,Paris FC,True,1,3
3664311,2022-01-22 16:00:00+00:00,606039,Montpellier,394119,Lyon,True,2,3
3664314,2022-01-23 13:45:00+00:00,612967,Saint-Etienne,294858,Paris Saint Germain,True,0,5
3664309,2022-01-29 13:30:00+00:00,597900,Guingamp,862896,Bordeaux,True,0,2
3664316,2022-02-04 19:45:00+00:00,862902,Fleury Merogis U.S,606039,Montpellier,True,1,0
3664317,2022-02-05 13:30:00+00:00,593381,Dijon Foot,628136,ASJ Soyaux,True,0,1
3664318,2022-02-05 13:30:00+00:00,862893,Paris FC,612967,Saint-Etienne,True,2,1
3664319,2022-02-05 13:30:00+00:00,597900,Guingamp,294858,Paris Saint Germain,True,2,6
3664321,2022-02-05 15:35:00+00:00,1070036,Reims,608066,GPSO 92 Issy,True,4,3
3664320,2022-02-06 13:45:00+00:00,394119,Lyon,862896,Bordeaux,True,1,0
3664310,2022-02-08 17:30:00+00:00,593381,Dijon Foot,862902,Fleury Merogis U.S,True,0,0
3664306,2022-02-11 20:00:00+00:00,394119,Lyon,628136,ASJ Soyaux,True,8,0
3664308,2022-02-11 20:00:00+00:00,294858,Paris Saint Germain,593381,Dijon Foot,True,5,0
3664325,2022-02-26 13:30:00+00:00,862896,Bordeaux,612967,Saint-Etienne,True,3,0
3664324,2022-02-26 13:30:00+00:00,608066,GPSO 92 Issy (W),628136,ASJ Soyaux (W),True,5,1
3664327,2022-02-26 13:30:00+00:00,597900,Guingamp,862893,Paris FC,True,2,5
3664323,2022-02-26 15:35:00+00:00,606039,Montpellier,593381,Dijon Foot,True,2,0
3664326,2022-02-27 13:45:00+00:00,1070036,Reims,394119,Lyon,True,0,2
3664322,2022-02-27 13:45:00+00:00,862902,Fleury Merogis U.S,294858,Paris Saint Germain,True,0,4
3664328,2022-03-11 20:00:00+00:00,862893,Paris FC,862902,Fleury Merogis U.S,True,3,1
3664329,2022-03-11 20:00:00+00:00,294858,Paris Saint Germain (W),606039,Montpellier (W),True,0,0
3664332,2022-03-12 13:30:00+00:00,612967,Saint-Etienne,394119,Lyon,True,1,1
3664331,2022-03-12 13:30:00+00:00,597900,Guingamp,1070036,Reims,True,0,1
3664330,2022-03-12 13:30:00+00:00,628136,ASJ Soyaux (W),862896,Bordeaux (W),True,0,3
3664333,2022-03-12 15:30:00+00:00,593381,Dijon Foot,608066,GPSO 92 Issy,True,0,1
3664336,2022-03-18 17:45:00+00:00,294858,Paris Saint Germain (W),628136,ASJ Soyaux (W),True,2,0
3664339,2022-03-18 17:45:00+00:00,593381,Dijon Foot,394119,Lyon,True,0,3
3664337,2022-03-19 13:30:00+00:00,1070036,Reims,862893,Paris FC,True,1,2
3664338,2022-03-19 13:30:00+00:00,608066,GPSO 92 Issy,612967,Saint-Etienne,True,4,1
3664335,2022-03-19 13:30:00+00:00,606039,Montpellier,597900,Guingamp,True,6,0
3664334,2022-03-20 13:45:00+00:00,862902,Fleury Merogis U.S,862896,Bordeaux,True,2,0
3664340,2022-04-02 12:30:00+00:00,628136,ASJ Soyaux,862902,Fleury Merogis U.S,True,0,1
3664341,2022-04-02 12:30:00+00:00,606039,Montpellier,1070036,Reims,True,1,2
3664344,2022-04-02 14:35:00+00:00,862896,Bordeaux (W),608066,GPSO 92 Issy (W),True,3,0
3664345,2022-04-03 10:45:00+00:00,862893,Paris FC,294858,Paris Saint Germain,True,0,0
3664343,2022-04-03 10:45:00+00:00,597900,Guingamp,394119,Lyon,True,0,2
3664347,2022-04-15 16:30:00+00:00,862893,Paris FC,606039,Montpellier,True,3,1
3664351,2022-04-16 12:30:00+00:00,593381,Dijon Foot,862896,Bordeaux,True,0,2
3664350,2022-04-16 12:30:00+00:00,612967,Saint-Etienne,597900,Guingamp,True,1,3
3664348,2022-04-16 12:30:00+00:00,628136,ASJ Soyaux,1070036,Reims,True,1,2
3664349,2022-04-16 14:35:00+00:00,294858,Paris Saint Germain (W),608066,GPSO 92 Issy (W),True,6,1
3664346,2022-04-17 12:45:00+00:00,862902,Fleury Merogis U.S,394119,Lyon,True,1,2
3664342,2022-04-23 12:30:00+00:00,612967,Saint-Etienne,593381,Dijon Foot,True,2,2
3664352,2022-05-07 12:30:00+00:00,608066,GPSO 92 Issy,862902,Fleury Merogis U.S,True,0,5
3664353,2022-05-07 12:30:00+00:00,606039,Montpellier (W),628136,ASJ Soyaux (W),True,3,0
3664357,2022-05-07 12:30:00+00:00,597900,Guingamp,593381,Dijon Foot,True,4,0
3664356,2022-05-07 12:30:00+00:00,1070036,Reims,612967,Saint-Etienne,True,1,0
3664354,2022-05-07 14:45:00+00:00,862896,Bordeaux (W),294858,Paris Saint Germain (W),True,1,5
3664355,2022-05-08 12:45:00+00:00,394119,Lyon,862893,Paris FC,True,2,0
3664362,2022-05-27 19:05:00+00:00,862896,Bordeaux,862893,Paris FC,True,1,4
3664361,2022-05-28 12:30:00+00:00,593381,Dijon Foot,1070036,Reims,True,2,2
3664358,2022-05-28 12:30:00+00:00,862902,Fleury Merogis U.S,612967,Saint-Etienne,True,4,2
3664359,2022-05-28 12:30:00+00:00,608066,GPSO 92 Issy (W),606039,Montpellier (W),True,2,5
3664360,2022-05-28 12:30:00+00:00,628136,ASJ Soyaux,597900,Guingamp,True,2,0
3664363,2022-05-29 19:00:00+00:00,294858,Paris Saint Germain,394119,Lyon,True,0,1
3664368,2022-06-01 18:45:00+00:00,862893,Paris FC,593381,Dijon Foot,True,2,0
3664364,2022-06-01 18:45:00+00:00,597900,Guingamp,862902,Fleury Merogis U.S,True,0,3
3664367,2022-06-01 18:45:00+00:00,1070036,Reims,294858,Paris Saint Germain,True,1,0
3664366,2022-06-01 18:45:00+00:00,612967,Saint-Etienne,628136,ASJ Soyaux,True,0,3
3664369,2022-06-01 18:45:00+00:00,394119,Lyon,608066,GPSO 92 Issy,True,4,0
3664365,2022-06-01 18:45:00+00:00,606039,Montpellier (W),862896,Bordeaux (W),True,0,1
3990144,2022-09-09 19:00:00+00:00,294858,Paris Saint Germain,628136,ASJ Soyaux,True,2,0
3990140,2022-09-10 12:30:00+00:00,606039,Montpellier,593381,Dijon Foot,True,3,0
3990142,2022-09-10 12:30:00+00:00,597900,Guingamp,862902,Fleury Merogis U.S,True,0,3
3990143,2022-09-10 12:30:00+00:00,862893,Paris FC,628137,Rodez Aveyron,True,2,0
3990141,2022-09-10 12:30:00+00:00,862896,Bordeaux,1169987,Le Havre,True,4,2
3990139,2022-09-11 10:45:00+00:00,1070036,Reims,394119,Lyon,True,1,5
3990137,2022-09-16 16:30:00+00:00,862902,Fleury Merogis U.S,862893,Paris FC,True,1,1
3990138,2022-09-17 12:30:00+00:00,628137,Rodez Aveyron,294858,Paris Saint Germain,True,0,4
3990135,2022-09-17 12:30:00+00:00,593381,Dijon Foot,862896,Bordeaux,True,1,1
3990145,2022-09-17 12:30:00+00:00,1070036,Reims,606039,Montpellier,True,1,3
3990136,2022-09-18 10:45:00+00:00,1169987,Le Havre,597900,Guingamp,True,1,0
3990146,2022-09-18 13:00:00+00:00,394119,Lyon,628136,ASJ Soyaux,True,2,1
3990154,2022-09-23 16:30:00+00:00,862893,Paris FC,1169987,Le Havre,True,1,0
3990151,2022-09-23 19:00:00+00:00,606039,Montpellier,394119,Lyon,True,1,3
3990153,2022-09-24 12:30:00+00:00,597900,Guingamp,593381,Dijon Foot,True,0,1
3990155,2022-09-24 12:30:00+00:00,628136,ASJ Soyaux,628137,Rodez Aveyron,True,2,0
3990152,2022-09-24 12:30:00+00:00,862896,Bordeaux,1070036,Reims,True,0,1
3990156,2022-09-25 10:45:00+00:00,294858,Paris Saint Germain,862902,Fleury Merogis U.S,True,2,1
3990148,2022-09-30 19:00:00+00:00,606039,Montpellier,862896,Bordeaux,True,0,0
3990147,2022-10-01 12:30:00+00:00,593381,Dijon Foot,862893,Paris FC,True,0,2
3990134,2022-10-01 12:30:00+00:00,1070036,Reims,597900,Guingamp,True,3,0
3990150,2022-10-01 12:30:00+00:00,862902,Fleury Merogis U.S,628136,ASJ Soyaux,True,1,1
3990133,2022-10-01 12:30:00+00:00,394119,Lyon,628137,Rodez Aveyron,True,2,0
3990149,2022-10-02 10:45:00+00:00,1169987,Le Havre,294858,Paris Saint Germain,True,2,2
3990118,2022-10-14 16:30:00+00:00,862893,Paris FC,1070036,Reims,True,2,2
3990132,2022-10-15 12:30:00+00:00,294858,Paris Saint Germain,593381,Dijon Foot,True,3,1
3990119,2022-10-15 12:30:00+00:00,628136,ASJ Soyaux,1169987,Le Havre,True,1,4
3990116,2022-10-15 12:30:00+00:00,597900,Guingamp,606039,Montpellier,True,1,4
3990117,2022-10-16 10:45:00+00:00,628137,Rodez Aveyron,862902,Fleury Merogis U.S,True,2,1
3990115,2022-10-16 10:45:00+00:00,862896,Bordeaux,394119,Lyon,True,1,3
3990112,2022-10-28 19:00:00+00:00,606039,Montpellier,862893,Paris FC,True,1,3
3990120,2022-10-29 12:30:00+00:00,1070036,Reims,294858,Paris Saint Germain,True,0,2
3990114,2022-10-29 12:30:00+00:00,862896,Bordeaux,597900,Guingamp,True,3,1
3990111,2022-10-29 12:30:00+00:00,593381,Dijon Foot,628136,ASJ Soyaux,True,1,0
3990113,2022-10-29 12:30:00+00:00,1169987,Le Havre,628137,Rodez Aveyron,True,2,1
3990121,2022-10-30 11:45:00+00:00,394119,Lyon,862902,Fleury Merogis U.S,True,1,0
3990129,2022-11-04 17:30:00+00:00,628137,Rodez Aveyron,593381,Dijon Foot,True,1,1
3990130,2022-11-04 20:00:00+00:00,862893,Paris FC,862896,Bordeaux,True,1,1
3990122,2022-11-05 12:30:00+00:00,294858,Paris Saint Germain,606039,Montpellier,True,2,2
3990127,2022-11-05 13:30:00+00:00,862902,Fleury Merogis U.S,1169987,Le Havre,True,3,0
3990128,2022-11-05 13:30:00+00:00,597900,Guingamp,394119,Lyon,True,0,0
3990131,2022-11-05 13:30:00+00:00,628136,ASJ Soyaux,1070036,Reims,True,1,4
3990126,2022-11-19 13:30:00+00:00,597900,Guingamp,862893,Paris FC,True,0,3
3990123,2022-11-19 13:30:00+00:00,593381,Dijon Foot,862902,Fleury Merogis U.S,True,1,5
3990110,2022-11-19 13:30:00+00:00,1070036,Reims,628137,Rodez Aveyron,True,0,0
3990124,2022-11-19 13:30:00+00:00,606039,Montpellier,628136,ASJ Soyaux,True,2,2
3990125,2022-11-20 13:00:00+00:00,862896,Bordeaux,294858,Paris Saint Germain,True,0,3
3990161,2022-11-20 15:00:00+00:00,394119,Lyon,1169987,Le Havre,True,1,0
3990162,2022-11-25 20:00:00+00:00,862902,Fleury Merogis U.S,1070036,Reims,True,1,0
3990163,2022-11-26 13:30:00+00:00,1169987,Le Havre,593381,Dijon Foot,True,5,0
3990160,2022-11-26 13:30:00+00:00,294858,Paris Saint Germain,597900,Guingamp,True,1,0
3990157,2022-11-26 13:30:00+00:00,606039,Montpellier,628137,Rodez Aveyron,True,2,1
3990159,2022-11-26 13:30:00+00:00,628136,ASJ Soyaux,862896,Bordeaux,True,0,1
3990158,2022-11-27 15:00:00+00:00,862893,Paris FC,394119,Lyon,True,2,3
3990184,2022-12-02 17:00:00+00:00,606039,Montpellier,862902,Fleury Merogis U.S,True,1,1
