"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL","LeagueName","LeagueURL","StatType"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Lotta Wrede","GER","MF,DF","17-194",3.3,76,112,67.9,1374,444,33,39,84.6,31,44,70.5,10,19,52.6,0,0.3,0.2,-0.3,1,12,3,0,18,"https://fbref.com/en/players/8af3538b/Lotta-Wrede","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Inga Schuldt","GER","GK","28-196",3,55,94,58.5,1954,1669,2,2,100,22,25,88,31,65,47.7,0,0,0,0,0,2,0,0,0,"https://fbref.com/en/players/3151a778/Inga-Schuldt","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Annaleen Böhler","GER","DF","20-088",2.5,59,92,64.1,1063,625,26,35,74.3,28,42,66.7,4,11,36.4,0,0,0,0,0,4,0,0,4,"https://fbref.com/en/players/801f23e0/Annaleen-Bohler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Mia Büchele","GER","MF,DF","22-007",1.9,30,59,50.8,521,272,14,18,77.8,11,18,61.1,4,18,22.2,0,0.2,0.2,-0.2,4,2,2,0,5,"https://fbref.com/en/players/762fd610/Mia-Buchele","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Laura Sieger","GER","GK","25-238",1.3,16,36,44.4,520,418,2,2,100,7,8,87.5,7,25,28,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/90177ab1/Laura-Sieger","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Christin Meyer","GER","MF,DF","25-000",2.6,28,63,44.4,431,122,16,26,61.5,10,20,50,1,7,14.3,1,0.1,0.1,0.9,1,2,1,1,3,"https://fbref.com/en/players/5de1a331/Christin-Meyer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Victoria Schulz","GER","MF,FW","27-337",2.4,46,74,62.2,689,211,24,25,96,18,29,62.1,2,15,13.3,0,0.1,0.1,-0.1,3,5,1,0,4,"https://fbref.com/en/players/12fddac2/Victoria-Schulz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Larissa Haidner","AUT","GK","20-210",1.7,31,59,52.5,1022,843,1,1,100,15,15,100,15,43,34.9,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/257050d3/Larissa-Haidner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Viktoria Schwalm","GER","FW,MF","27-309",0.7,9,18,50,169,65,3,6,50,6,7,85.7,0,4,0,0,0.2,0.2,-0.2,2,1,2,1,3,"https://fbref.com/en/players/109cdc0e/Viktoria-Schwalm","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Annalena Wucher","AUT","DF,FW","26-131",0.5,9,18,50,237,191,0,2,0,5,8,62.5,4,5,80,0,0,0,0,0,0,0,0,1,"https://fbref.com/en/players/e95a092a/Annalena-Wucher","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Vildan Kardesler","GER","MF","27-232",0.2,3,7,42.9,30,12,3,4,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/0836fac5/Vildan-Kardesler","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Almudena Sierra","FRA","FW","18-170",0,1,3,33.3,18,0,0,1,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dfaf8c97/Almudena-Sierra","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Hamburger SV","Frauen-Bundesliga","Sophie Profé","GER","DF","22-168",0,2,3,66.7,40,20,0,0,NA,2,2,100,0,1,0,0,0.1,0.1,-0.1,1,0,1,1,0,"https://fbref.com/en/players/3fbda4cf/Sophie-Profe","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Hannah Etzold","GER","GK","20-184",6,119,198,60.1,2914,1972,28,30,93.3,56,66,84.8,34,101,33.7,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/636e368e/Hannah-Etzold","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Toma Ihlenburg","GER","DF","22-314",6,196,243,80.7,3694,1660,75,83,90.4,87,99,87.9,26,48,54.2,0,0,0,0,0,10,0,0,10,"https://fbref.com/en/players/284f0c28/Toma-Ihlenburg","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Nelly Juckel","GER","DF,MF","23-244",5.8,85,155,54.8,1390,725,41,66,62.1,30,49,61.2,8,27,29.6,0,0,0,0,0,7,1,0,7,"https://fbref.com/en/players/0573d823/Nelly-Juckel","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Josephine Bonsu","GHA","DF","26-055",5.7,102,171,59.6,1421,676,60,90,66.7,29,39,74.4,6,25,24,0,0.1,0,-0.1,4,2,0,0,4,"https://fbref.com/en/players/859f40d8/Josephine-Bonsu","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Isabella Jaron","GER","FW","23-263",5.5,82,118,69.5,1387,416,39,44,88.6,26,35,74.3,11,28,39.3,1,0.4,0.3,0.6,4,6,1,0,9,"https://fbref.com/en/players/27204b59/Isabella-Jaron","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Felicia Sophie Sträßer","GER","DF","17-302",5.5,117,192,60.9,2088,1044,52,64,81.3,53,81,65.4,9,38,23.7,1,0.2,0,0.8,1,5,1,0,7,"https://fbref.com/en/players/f32b2b51/Felicia-Sophie-Strasser","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Noemi Gentile","GER","MF,FW","25-173",5.4,94,145,64.8,1436,501,51,67,76.1,28,41,68.3,9,26,34.6,0,0.1,0.1,-0.1,3,8,0,0,11,"https://fbref.com/en/players/bcfe3ce4/Noemi-Gentile","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Rieke Tietz","GER","FW","23-219",5.1,48,79,60.8,791,163,21,33,63.6,15,26,57.7,7,9,77.8,0,0.4,0.3,-0.4,3,3,1,1,3,"https://fbref.com/en/players/f3e42d2e/Rieke-Tietz","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Stefanie Schmid","GER","DF","20-020",5.3,154,221,69.7,2513,1454,84,101,83.2,60,80,75,9,31,29,0,0.2,0.2,-0.2,1,11,0,0,9,"https://fbref.com/en/players/48fb9ed5/Stefanie-Schmid","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Lisa Gora","GER","MF,DF","21-226",3.7,66,108,61.1,1009,378,33,46,71.7,24,36,66.7,3,16,18.8,0,0.1,0,-0.1,3,5,0,0,7,"https://fbref.com/en/players/e4e4f1c0/Lisa-Gora","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Emily Reske","GER","MF","20-204",3.8,44,70,62.9,629,188,28,36,77.8,11,16,68.8,3,10,30,0,0,0,0,1,2,0,0,3,"https://fbref.com/en/players/df742823/Emily-Reske","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Merza Julević","GER","MF","35-180",2,34,48,70.8,737,222,11,15,73.3,15,18,83.3,8,14,57.1,0,0,0,0,0,2,0,0,3,"https://fbref.com/en/players/55229ecf/Merza-Julevic","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Nike Herrmann","GER","MF","23-198",1.7,47,57,82.5,702,140,29,31,93.5,16,17,94.1,2,4,50,0,0,0,0,1,2,0,0,6,"https://fbref.com/en/players/6e067c8e/Nike-Herrmann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Elena Mühlemann","SUI","MF","22-063",1.3,32,47,68.1,461,116,17,24,70.8,9,11,81.8,2,3,66.7,0,0,0,0,1,2,0,0,1,"https://fbref.com/en/players/917afc8a/Elena-Muhlemann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Bente Fischer","GER","DF","22-321",0.5,12,19,63.2,143,125,10,11,90.9,2,4,50,0,2,0,1,0,0,1,0,0,0,0,0,"https://fbref.com/en/players/66834f26/Bente-Fischer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Anna Margraf","AUS","FW,MF","24-160",1.4,12,18,66.7,270,52,5,7,71.4,5,7,71.4,2,3,66.7,1,0.2,0.4,0.8,1,2,0,0,1,"https://fbref.com/en/players/53836ede/Anna-Margraf","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Suya Haering","NZL","DF,FW","20-103",0.8,6,13,46.2,129,44,2,4,50,3,6,50,1,2,50,0,0,0,0,0,1,0,0,1,"https://fbref.com/en/players/ebfc08fe/Suya-Haering","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Carl-Zeiss Jena","Frauen-Bundesliga","Melina Reuter","GER","MF,FW","19-298",0.4,11,13,84.6,133,22,7,8,87.5,4,4,100,0,1,0,0,0,0,0,1,0,0,0,1,"https://fbref.com/en/players/9ddd2e09/Melina-Reuter","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Lena Ostermeier","GER","DF","29-013",6,255,347,73.5,4989,2470,89,107,83.2,130,168,77.4,33,59,55.9,0,0,0.6,0,1,22,3,2,20,"https://fbref.com/en/players/4e673b2e/Lena-Ostermeier","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Vanessa Furst","GER","DF,MF","23-353",6,241,294,82,4390,2061,100,116,86.2,113,137,82.5,24,32,75,0,0.1,0.2,-0.1,3,14,1,0,20,"https://fbref.com/en/players/8ad8b4b4/Vanessa-Furst","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Jana Feldkamp","GER","MF","27-213",5.8,204,272,75,3699,1209,82,103,79.6,95,116,81.9,21,43,48.8,0,0.1,0.3,-0.1,4,16,3,1,21,"https://fbref.com/en/players/11bb564b/Jana-Feldkamp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Ramona Maier","GER","FW,MF","30-025",5.8,72,114,63.2,1224,230,32,41,78,32,47,68.1,5,13,38.5,0,0.1,0.1,-0.1,3,5,3,1,10,"https://fbref.com/en/players/7f2c8da2/Ramona-Maier","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Jacqueline Klasen","GER","DF","31-252",5.6,212,307,69.1,4266,2285,64,85,75.3,114,147,77.6,33,67,49.3,0,0.1,0.1,-0.1,2,18,1,1,24,"https://fbref.com/en/players/51532c67/Jacqueline-Klasen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Paula Flach","GER","DF,MF","22-165",5.3,164,256,64.1,3130,1492,60,81,74.1,84,120,70,19,44,43.2,0,0.2,0.5,-0.2,2,21,1,1,17,"https://fbref.com/en/players/66605f59/Paula-Flach","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Laureta Elmazi","GER","FW,MF","22-110",5.2,82,107,76.6,1344,297,43,51,84.3,31,38,81.6,6,12,50,0,0.4,0.3,-0.4,7,7,2,2,11,"https://fbref.com/en/players/8b4050bb/Laureta-Elmazi","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Kim Sindermann","GER","GK","24-286",5,153,192,79.7,3489,2496,30,30,100,88,90,97.8,33,69,47.8,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a931eea3/Kim-Sindermann","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Shari Van Belle","BEL","MF,FW","25-296",3.7,62,90,68.9,940,252,29,36,80.6,26,32,81.3,4,10,40,0,0,0.1,0,1,5,1,0,11,"https://fbref.com/en/players/1bb31d9a/Shari-Van-Belle","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Maike Berentzen","GER","FW,MF","28-246",2.6,45,85,52.9,886,300,16,22,72.7,20,35,57.1,7,19,36.8,0,0.3,0.4,-0.3,4,6,5,4,9,"https://fbref.com/en/players/62828f6a/Maike-Berentzen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Natasha Kowalski","GER","MF,DF","22-124",2.7,60,99,60.6,1051,310,26,38,68.4,28,41,68.3,5,16,31.3,0,1.1,0.9,-1.1,5,6,3,1,11,"https://fbref.com/en/players/2fffa5fc/Natasha-Kowalski","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Laura Pucks","GER","DF,FW","21-196",2.4,106,130,81.5,1933,862,39,50,78,55,61,90.2,10,12,83.3,0,0,0,0,0,3,0,0,3,"https://fbref.com/en/players/ca1437fa/Laura-Pucks","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Paulina Platner","GER","MF","19-332",2.2,59,100,59,1100,434,27,38,71.1,23,36,63.9,9,21,42.9,0,0.2,0.1,-0.2,2,10,1,0,8,"https://fbref.com/en/players/2a25cabb/Paulina-Platner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Julia Debitzki","GER","MF,DF","34-111",1.7,47,81,58,800,426,22,31,71,17,26,65.4,7,19,36.8,1,0.2,0.2,0.8,3,8,3,0,10,"https://fbref.com/en/players/984d8a46/Julia-Debitzki","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Leonie Köpp","GER","MF,FW","18-184",2.8,43,76,56.6,687,264,23,40,57.5,12,21,57.1,6,9,66.7,1,0.2,0.1,0.8,3,7,2,0,7,"https://fbref.com/en/players/0f813d65/Leonie-Kopp","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Kassandra Potsi","GER","FW","",1.6,30,42,71.4,501,207,16,19,84.2,10,13,76.9,3,8,37.5,0,0.1,0,-0.1,2,2,2,0,6,"https://fbref.com/en/players/8a123937/Kassandra-Potsi","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Luisa Palmen","GER","GK","23-252",1,23,31,74.2,502,365,6,6,100,12,12,100,5,13,38.5,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/2be5425a/Luisa-Palmen","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Beke Sterner","GER","MF","22-234",0.1,0,1,0,0,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b8894d39/Beke-Sterner","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
"2025-2026","Essen","Frauen-Bundesliga","Lany Bäcker","GER","MF,FW","17-222",0.4,11,17,64.7,152,103,9,11,81.8,1,5,20,1,1,100,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/e9517443/Lany-Backer","Frauen Bundesliga","https://fbref.com/en/comps/183/Frauen-Bundesliga-Stats","passing"
