"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL","LeagueName","LeagueURL","StatType"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Magdalena Eriksson","SWE","DF","30",7.8,1,5,1,20,0.64,0.13,0.2,1,8.6,0,0,0,0.6,0.6,0.13,0.4,0.4,"https://fbref.com/en/players/bb454bb1/Magdalena-Eriksson","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Jovana Damnjanović","SRB","MF,FW","29",7.7,2,19,7,36.8,2.47,0.91,0.11,0.29,12.3,0,0,0,1.8,1.8,0.1,0.2,0.2,"https://fbref.com/en/players/74a216cf/Jovana-Damnjanovic","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Momoko Tanikawa","JPN","FW,MF","19",2.6,0,7,3,42.9,2.67,1.14,0,0,17.7,0,0,0,0.9,0.9,0.13,-0.9,-0.9,"https://fbref.com/en/players/2a013ecf/Momoko-Tanikawa","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Samantha Kerr","SCO","MF","25",2.6,0,2,0,0,0.76,0,0,NA,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,"https://fbref.com/en/players/3d4ffba1/Samantha-Kerr","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Arianna Caruso","ITA","MF","24",2.3,0,5,1,20,2.13,0.43,0,0,20.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,"https://fbref.com/en/players/d83b882b/Arianna-Caruso","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Franziska Kett","GER","DF,FW","19",2.2,0,1,0,0,0.45,0,0,NA,32.2,0,0,0,0,0,0.01,0,0,"https://fbref.com/en/players/72d8e7b3/Franziska-Kett","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Weronika Zawistowska","POL","FW,MF","24",1.9,1,8,3,37.5,4.31,1.62,0.13,0.33,12.6,0,0,0,0.9,0.9,0.12,0.1,0.1,"https://fbref.com/en/players/a204c740/Weronika-Zawistowska","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Michelle Ulbrich","GER","DF","27",1.4,1,2,2,100,1.4,1.4,0.5,0.5,10.3,0,0,0,0.3,0.3,0.16,0.7,0.7,"https://fbref.com/en/players/e8840be1/Michelle-Ulbrich","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Bayern Munich","Frauen-Bundesliga","Ana María Guzmán","COL","MF,DF","19",0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/8d5a8340/Ana-Maria-Guzman","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
"2024-2025","Wolfsburg","Frauen-Bundesliga","Janina Minge","GER","DF,MF","25",19.5,4,34,10,29.4,1.74,0.51,0.09,0.3,15.2,0,1,1,2.6,1.9,0.06,1.4,1.1,"https://fbref.com/en/players/7c63ff02/Janina-Minge","2024 2025 Frauen Bundesliga","https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats","shooting"
