League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Bayer Leverkusen,3-4-1-2,6,3.1,Nikola Karczewska · 8&rsquor; Nikola Karczewska · 13&rsquor; Karólína Lea Vilhjálmsdóttir · 23&rsquor; Nikola Karczewska · 49&rsquor; Karólína Lea Vilhjálmsdóttir · 54&rsquor; Eva Van Deursen · 73&rsquor;,1,0,1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,1. FC Nürnberg,Away,NA,990,20,10,12,5,3,1,19,5.3,18,16,6,10,11,31,29,1
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Werder Bremen,Home,NA,990,20,14,9,9,2,5,12,41.7,7,13,7,6,8,28,14,1
Frauen-Bundesliga,2023-09-30,Frauen-Bundesliga (Matchweek 2),Werder Bremen,3-5-2,1,1.5,Michelle Ulbrich · 70&rsquor;,3,0,Hoffenheim,4-3-3,3,3.1,Melissa Kössler · 13&rsquor; Mara Alber · 74&rsquor; Jill Janssens · 90+4&rsquor;,2,0,Hoffenheim,Away,NA,990,25,18,13,8,4,16,22,72.7,6,16,2,14,11,36,30,0
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Eintracht Frankfurt,Home,NA,990,15,13,7,7,1,2,10,20,8,12,3,9,13,28,12,0
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),Eintracht Frankfurt,4-3-3,2,1.4,Laura Freigang (P) · 9&rsquor; Barbara Dunst · 46&rsquor;,0,0,Wolfsburg,4-2-3-1,4,1.8,Alexandra Popp · 28&rsquor; Lena Oberdorf · 53&rsquor; Joelle Wedemeyer · 73&rsquor; Ewa Pajor · 84&rsquor;,1,0,Wolfsburg,Away,NA,990,32,26,12,18,2,12,21,57.1,9,13,1,12,22,54,17,0
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,MSV Duisburg,Home,NA,990,29,22,15,10,4,7,9,77.8,2,9,2,7,21,50,23,0
Frauen-Bundesliga,2023-10-01,Frauen-Bundesliga (Matchweek 2),MSV Duisburg,4-3-3,2,0.3,Vanessa Furst · 37&rsquor; Antonia Halverkamps · 90+4&rsquor;,4,0,Freiburg,4-2-3-1,2,0.6,Cora Zical · 27&rsquor; Ena Mahmutovic (OG) · 73&rsquor;,0,0,Freiburg,Away,NA,990,13,10,3,8,2,5,7,71.4,2,8,1,7,8,21,9,0
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern Munich,4-2-3-1,2,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,Köln,4-2-3-1,0,0.3,NA,4,0,Bayern Munich,Home,NA,990,20,11,8,11,1,6,16,37.5,10,12,1,11,4,24,12,0
Frauen-Bundesliga,2023-10-02,Frauen-Bundesliga (Matchweek 2),Bayern Munich,4-2-3-1,2,1.6,Pernille Harder · 45&rsquor; Linda Dallmann · 57&rsquor;,1,0,Köln,4-2-3-1,0,0.3,NA,4,0,Köln,Away,NA,990,20,12,15,5,0,12,20,60,8,9,0,9,15,35,21,0
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),Wolfsburg,4-2-3-1,1,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0,0.3,NA,2,0,Wolfsburg,Home,NA,990,19,13,8,6,5,3,5,60,2,13,0,13,9,28,7,0
Frauen-Bundesliga,2023-10-06,Frauen-Bundesliga (Matchweek 3),Wolfsburg,4-2-3-1,1,1.5,Fenna Kalma · 12&rsquor;,0,0,1. FC Nürnberg,3-4-1-2,0,0.3,NA,2,0,1. FC Nürnberg,Away,NA,990,22,16,14,6,2,8,17,47.1,9,20,1,19,6,28,25,0
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Köln,4-2-3-1,4,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1,0.7,Yvonne Zielinski · 47&rsquor;,1,0,Köln,Home,NA,990,12,9,7,5,0,3,8,37.5,5,8,1,7,14,26,23,0
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Köln,4-2-3-1,4,1.9,Sharon Beck · 29&rsquor; Martyna Wiankowska · 59&rsquor; Andrea Gavric · 69&rsquor; Martyna Wiankowska (P) · 78&rsquor;,2,0,MSV Duisburg,4-3-3,1,0.7,Yvonne Zielinski · 47&rsquor;,1,0,MSV Duisburg,Away,NA,990,21,13,7,8,6,8,12,66.7,4,10,2,8,19,40,18,0
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1,0.7,Lydia Andrade · 27&rsquor;,4,0,Eintracht Frankfurt,Home,NA,990,23,15,7,12,4,10,16,62.5,6,12,3,9,10,33,13,0
Frauen-Bundesliga,2023-10-07,Frauen-Bundesliga (Matchweek 3),Eintracht Frankfurt,4-3-3,3,3.7,Barbara Dunst · 71&rsquor; Laura Freigang (P) · 86&rsquor; Carlotta Wamser · 90+2&rsquor;,1,0,RB Leipzig,5-4-1,1,0.7,Lydia Andrade · 27&rsquor;,4,0,RB Leipzig,Away,NA,990,33,22,21,10,2,11,22,50,11,14,4,10,12,45,18,0
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Essen,4-2-3-1,0,0.2,NA,1,0,Bayern Munich,4-2-3-1,2,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,Essen,Home,NA,990,29,21,17,7,5,12,23,52.2,11,19,3,16,11,40,23,0
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Essen,4-2-3-1,0,0.2,NA,1,0,Bayern Munich,4-2-3-1,2,1.8,Pernille Harder · 13&rsquor; Lea Schüller · 24&rsquor;,4,0,Bayern Munich,Away,NA,990,27,21,8,11,8,3,9,33.3,6,13,1,12,10,37,8,0
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1,0.6,Sophie Weidauer · 25&rsquor;,3,0,Freiburg,Home,NA,990,24,22,18,6,0,8,13,61.5,5,13,4,9,13,37,37,0
Frauen-Bundesliga,2023-10-08,Frauen-Bundesliga (Matchweek 3),Freiburg,4-2-3-1,2,0.6,Hanna Németh (OG) · 61&rsquor; Svenja Fölmli · 67&rsquor;,1,0,Werder Bremen,3-5-2,1,0.6,Sophie Weidauer · 25&rsquor;,3,0,Werder Bremen,Away,NA,990,12,9,3,7,2,6,14,42.9,8,16,4,12,10,22,14,0
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),Hoffenheim,4-3-3,2,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,Hoffenheim,Home,NA,990,16,11,7,9,0,9,29,31,20,11,2,9,8,24,15,1
Frauen-Bundesliga,2023-10-09,Frauen-Bundesliga (Matchweek 3),Hoffenheim,4-3-3,2,2.3,Mara Alber · 74&rsquor; Ereleta Memeti · 78&rsquor;,1,0,Bayer Leverkusen,3-5-2,2,1.8,Karólína Lea Vilhjálmsdóttir · 34&rsquor; Kristin Kögel · 62&rsquor;,0,0,Bayer Leverkusen,Away,NA,990,43,17,26,12,5,20,32,62.5,12,16,9,7,7,50,25,0
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Hoffenheim,4-3-3,3,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,1. FC Nürnberg,Home,NA,990,14,4,5,9,0,10,37,27,27,19,8,11,11,25,20,0
Frauen-Bundesliga,2023-10-13,Frauen-Bundesliga (Matchweek 4),1. FC Nürnberg,3-4-1-2,0,0.2,NA,2,0,Hoffenheim,4-3-3,3,3.2,Jill Janssens · 24&rsquor; Jana Feldkamp (P) · 42&rsquor; Gia Corley · 72&rsquor;,0,0,Hoffenheim,Away,NA,990,6,4,1,2,3,3,13,23.1,10,9,1,8,11,17,8,0
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,Köln,4-2-3-1,0,0.2,NA,1,0,Werder Bremen,Home,NA,990,17,12,9,5,3,5,15,33.3,10,17,0,17,14,31,17,0
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Werder Bremen,3-5-2,3,1.6,Celina Degen (OG) · 32&rsquor; Lina Hausicke · 83&rsquor; Melina Kunkel · 90+3&rsquor;,0,0,Köln,4-2-3-1,0,0.2,NA,1,0,Köln,Away,NA,990,20,13,15,4,1,16,22,72.7,6,8,1,7,11,31,18,2
Frauen-Bundesliga,2023-10-14,Frauen-Bundesliga (Matchweek 4),Bayern Munich,4-2-3-1,0,0.7,NA,0,0,Eintracht Frankfurt,4-3-3,0,0.3,NA,1,0,Bayern Munich,Home,NA,990,21,17,4,14,3,6,16,37.5,10,11,1,10,10,31,11,0
