match_id,season,competition,player_id,player_name,team,is_home,is_starter,age,position_id,usual_position_id,shirt_number,country,formation,rating,minutes_played,first_name,last_name,goals_in_match,assists_in_match,position_name
4829669,2025,2. Bundesliga,1415373,Tjark Scheller,Paderborn,False,True,23.0,35,1,25,Germany,3-4-3,6.9,90,Tjark,Scheller,0,0,Defender
4829669,2025,2. Bundesliga,1300329,Calvin Brackelmann,Paderborn,False,True,25.0,37,1,4,Germany,3-4-3,7.7,90,Calvin,Brackelmann,0,0,Defender
4829669,2025,2. Bundesliga,1426060,Laurin Curda,Paderborn,False,True,23.0,72,1,17,Germany,3-4-3,7.6,79,Laurin,Curda,0,1,Midfielder
4829669,2025,2. Bundesliga,1635489,Luis Engelns,Paderborn,False,True,18.0,74,2,6,Germany,3-4-3,7.1,86,Luis,Engelns,1,0,Midfielder
4829669,2025,2. Bundesliga,1362492,Santiago Castaneda,Paderborn,False,True,20.0,76,2,5,USA,3-4-3,6.3,78,Santiago,Castaneda,0,0,Midfielder
4829669,2025,2. Bundesliga,784225,Raphael Obermair,Paderborn,False,True,29.0,78,2,23,Germany,3-4-3,7.1,90,Raphael,Obermair,0,0,Midfielder
4829669,2025,2. Bundesliga,1073007,Filip Bilbija,Paderborn,False,True,25.0,103,2,7,Germany,3-4-3,7.3,90,Filip,Bilbija,0,0,Forward
4829669,2025,2. Bundesliga,1276194,Lucas Copado,Paderborn,False,True,21.0,105,3,28,Germany,3-4-3,6.5,65,Lucas,Copado,0,0,Forward
4829669,2025,2. Bundesliga,1140919,Nick Bätzner,Paderborn,False,True,25.0,107,2,9,Germany,3-4-3,6.3,65,Nick,Bätzner,0,0,Forward
4829670,2025,2. Bundesliga,1077244,Tim Schreiber,Dynamo Dresden,True,True,23.0,11,0,1,Germany,4-2-3-1,5.9,90,Tim,Schreiber,0,0,Goalkeeper
4829670,2025,2. Bundesliga,1002652,Konrad Faber,Dynamo Dresden,True,True,27.0,32,1,2,Germany,4-2-3-1,7.2,90,Konrad,Faber,0,0,Defender
4829670,2025,2. Bundesliga,585268,Lukas Boeder,Dynamo Dresden,True,True,28.0,34,1,29,Germany,4-2-3-1,6.2,90,Lukas,Boeder,0,0,Defender
4829670,2025,2. Bundesliga,862285,Lars Bünning,Dynamo Dresden,True,True,27.0,36,1,23,Germany,4-2-3-1,6.8,81,Lars,Bünning,0,0,Defender
4829670,2025,2. Bundesliga,1263671,Sascha Risch,Dynamo Dresden,True,True,25.0,38,1,28,Germany,4-2-3-1,5.6,90,Sascha,Risch,0,0,Defender
