League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Championnat de France de Football Féminin,2023-09-29,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,2.1,Mathilde Bourdieu · 14&rsquor; Gaëtane Thiney · 18&rsquor; Clara Matéo · 74&rsquor;,1,0,Fleury,4-3-3,1,0.4,Tianna Harris · 26&rsquor;,1,0,Fleury,Away,NA,990,1,1,0,0,7,3,1,0,422,19,21,21,0.4,0.4,0.4,11,2,213,321,66.4,22,216,12,12,8
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,0,0.6,NA,1,0,Stade de Reims,4-1-4-1,0,0.4,NA,4,0,Guingamp,Home,NA,990,0,0,0,0,9,1,1,0,566,17,10,2,0.6,0.6,0.3,14,0,362,464,78,31,293,8,18,7
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,0,0.6,NA,1,0,Stade de Reims,4-1-4-1,0,0.4,NA,4,0,Stade de Reims,Away,NA,990,0,0,0,0,3,2,4,0,469,22,17,16,0.4,0.4,0.4,6,0,247,348,71,26,240,11,20,7
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Dijon,Home,NA,990,3,3,0,0,10,3,2,0,514,17,21,17,0.7,0.7,0.6,13,5,263,396,66.4,24,244,10,24,11
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,3,0.7,Latifah Abdu · 31&rsquor; Wu Chengshu · 86&rsquor; Wu Chengshu · 90+2&rsquor;,2,0,Lille,4-4-2,3,1.9,Marjorie · 64&rsquor; Maïté Boucly · 75&rsquor; Julie Machart (P) · 90+6&rsquor;,2,0,Lille,Away,NA,990,3,1,1,1,14,5,2,0,538,18,15,7,1.9,1.1,1,24,5,298,435,68.5,25,251,7,18,7
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Bordeaux,Home,NA,990,1,0,1,1,5,1,1,0,360,13,18,12,0.9,0.1,0.1,10,1,146,246,59.3,14,160,7,17,9
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,0.9,Andréa Lardez (P) · 10&rsquor;,1,0,Le Havre,4-2-3-1,1,1.6,Laurie Cance · 59&rsquor;,2,0,Le Havre,Away,NA,990,1,1,0,0,16,6,2,0,614,13,14,4,1.7,1.7,1.2,26,2,402,538,74.7,43,408,12,16,9
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Saint-Étienne,Home,NA,990,1,1,0,0,6,2,3,0,322,10,10,6,0.2,0.2,0,4,2,127,247,51.4,10,101,7,9,5
Championnat de France de Football Féminin,2023-09-30,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-3-3,1,0.2,Regina Otu · 14&rsquor;,3,0,Montpellier,4-3-1-2,1,0.4,Maelys Mpomé · 69&rsquor;,2,0,Montpellier,Away,NA,990,1,1,0,0,5,1,2,0,476,9,7,4,0.4,0.4,0.4,9,2,280,409,68.5,37,278,9,11,5
Championnat de France de Football Féminin,2023-10-01,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,0,0.7,NA,1,0,Lyon,4-3-3,1,0.9,Eugénie Le Sommer · 20&rsquor;,3,0,Paris Saint-Germain,Home,NA,990,0,0,0,0,10,6,1,0,536,14,8,10,0.7,0.7,0.5,18,0,320,427,74.9,35,367,18,17,9
