League,Match_Date,Matchweek,Home_Team,Home_Formation,Home_Score,Home_xG,Home_Goals,Home_Yellow_Cards,Home_Red_Cards,Away_Team,Away_Formation,Away_Score,Away_xG,Away_Goals,Away_Yellow_Cards,Away_Red_Cards,Team,Home_Away,Player_Href,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,PrgP_Passes,Carries_Carries,PrgC_Carries,Att_Take_Ons,Succ_Take_Ons
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Dijon,4-3-3,0,1.2,NA,1,0,Fleury,4-3-3,5,3,Dominika Grabowska · 51&rsquor; Rosemonde Kouassi · 65&rsquor; Rosemonde Kouassi · 80&rsquor; Léa Declercq (OG) · 88&rsquor; Tianna Harris · 90&rsquor;,0,0,Fleury,Away,NA,990,4,4,0,0,21,10,0,0,691,21,11,10,3,3,2.9,32,8,451,568,79.4,50,272,23,24,9
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,1,0.8,Ada Hegerberg · 84&rsquor;,1,0,Paris FC,4-2-3-1,0,0.2,NA,0,0,Lyon,Home,NA,990,1,1,0,0,15,5,1,0,716,19,20,14,0.8,0.8,0.6,21,1,501,610,82.1,61,405,23,19,10
Championnat de France de Football Féminin,2024-01-10,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,1,0.8,Ada Hegerberg · 84&rsquor;,1,0,Paris FC,4-2-3-1,0,0.2,NA,0,0,Paris FC,Away,NA,990,0,0,0,0,5,1,0,0,586,18,21,11,0.2,0.2,0.1,8,0,369,468,78.8,30,397,11,10,5
Championnat de France de Football Féminin,2024-01-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-1-4-1,4,4.8,Lieke Martens · 31&rsquor; Marie-Antoinette Katoto · 48&rsquor; Lieke Martens · 62&rsquor; Grace Geyoro · 90&rsquor;,1,0,Stade de Reims,5-4-1,0,0.1,NA,1,0,Paris Saint-Germain,Home,NA,990,4,3,0,0,25,11,1,0,907,22,4,9,5,5,3.3,47,7,728,821,88.7,81,528,28,11,9
Championnat de France de Football Féminin,2024-01-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-1-4-1,4,4.8,Lieke Martens · 31&rsquor; Marie-Antoinette Katoto · 48&rsquor; Lieke Martens · 62&rsquor; Grace Geyoro · 90&rsquor;,1,0,Stade de Reims,5-4-1,0,0.1,NA,1,0,Stade de Reims,Away,NA,990,0,0,0,0,3,0,1,0,409,21,13,11,0.1,0.1,0,2,0,211,292,72.3,11,205,5,14,4
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,2,1.5,Amandine Henry · 52&rsquor; Anaïs Ribeyra · 66&rsquor; Anaïs Ribeyra · 85&rsquor;,0,1,Dijon,4-2-3-1,2,1.4,Klaudia Jedlińska · 21&rsquor; Malou Rylov · 34&rsquor;,3,0,Lille,Home,NA,951,2,2,0,0,9,5,0,1,555,17,5,9,1.6,1.6,0.8,16,3,334,465,71.8,40,267,6,21,11
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,2,1.5,Amandine Henry · 52&rsquor; Anaïs Ribeyra · 66&rsquor; Anaïs Ribeyra · 85&rsquor;,0,1,Dijon,4-2-3-1,2,1.4,Klaudia Jedlińska · 21&rsquor; Malou Rylov · 34&rsquor;,3,0,Dijon,Away,NA,990,2,0,0,0,13,8,3,0,482,25,17,6,1.5,1.5,1.3,23,3,224,356,62.9,27,191,10,21,12
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,2.1,Mélissa Gomes (P) · 90&rsquor;,1,0,Guingamp,4-2-3-1,0,1,NA,3,0,Stade de Reims,Home,NA,990,1,0,1,1,17,6,1,0,504,22,13,23,2.1,1.4,1.2,29,2,217,332,65.4,27,211,15,30,13
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,1,2.1,Mélissa Gomes (P) · 90&rsquor;,1,0,Guingamp,4-2-3-1,0,1,NA,3,0,Guingamp,Away,NA,990,0,0,0,0,12,2,3,0,531,32,14,13,1,1,0.8,17,0,247,373,66.2,27,239,6,15,7
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,8,7,Grace Geyoro (P) · 28&rsquor; Amalie Vangsgaard · 36&rsquor; Marie-Antoinette Katoto · 40&rsquor; Marie-Antoinette Katoto · 45+2&rsquor; Sandy Baltimore · 62&rsquor; Tabitha Chawinga · 71&rsquor; Amalie Vangsgaard · 84&rsquor; Tabitha Chawinga · 88&rsquor;,0,0,Bordeaux,4-3-3,1,0.9,Hawa Sangare · 72&rsquor;,0,0,Paris Saint-Germain,Home,NA,990,8,4,1,1,32,20,0,0,870,11,10,7,7,6.2,4.2,55,13,679,784,86.6,76,476,18,21,11
Championnat de France de Football Féminin,2024-01-20,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,4-3-3,8,7,Grace Geyoro (P) · 28&rsquor; Amalie Vangsgaard · 36&rsquor; Marie-Antoinette Katoto · 40&rsquor; Marie-Antoinette Katoto · 45+2&rsquor; Sandy Baltimore · 62&rsquor; Tabitha Chawinga · 71&rsquor; Amalie Vangsgaard · 84&rsquor; Tabitha Chawinga · 88&rsquor;,0,0,Bordeaux,4-3-3,1,0.9,Hawa Sangare · 72&rsquor;,0,0,Bordeaux,Away,NA,990,1,1,0,0,4,1,0,0,485,16,13,15,0.9,0.9,0.8,8,2,265,351,75.5,12,218,10,10,6
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-1-4-1,1,1.2,Amandine Pierre-Louis · 29&rsquor;,2,0,Fleury,4-3-3,0,0.7,NA,0,0,Saint-Étienne,Home,NA,990,1,0,0,0,10,4,2,0,446,20,8,16,1.2,1.2,1.1,15,1,194,321,60.4,18,172,16,16,10
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-1-4-1,1,1.2,Amandine Pierre-Louis · 29&rsquor;,2,0,Fleury,4-3-3,0,0.7,NA,0,0,Fleury,Away,NA,990,0,0,0,0,8,0,0,0,587,10,10,6,0.7,0.7,0.4,11,0,366,503,72.8,51,243,20,15,9
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,1.2,Océane Deslandes · 35&rsquor;,2,0,Lyon,4-3-3,2,2.7,Vanessa Gilles · 12&rsquor; Ada Hegerberg · 27&rsquor;,1,0,Montpellier,Home,NA,990,1,0,0,0,7,6,2,0,514,26,16,12,1.3,1.3,0.1,6,1,245,364,67.3,14,263,8,29,16
Championnat de France de Football Féminin,2024-01-21,Championnat de France de Football Féminin (Regular season),Montpellier,4-2-3-1,1,1.2,Océane Deslandes · 35&rsquor;,2,0,Lyon,4-3-3,2,2.7,Vanessa Gilles · 12&rsquor; Ada Hegerberg · 27&rsquor;,1,0,Lyon,Away,NA,990,2,2,0,0,16,7,1,0,743,20,18,14,3.1,3.1,2.6,27,4,503,615,81.8,82,380,12,13,6
Championnat de France de Football Féminin,2024-02-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,0.4,Dominika Grabowska · 19&rsquor;,3,0,Paris Saint-Germain,4-5-1,1,2.6,Sakina Karchaoui · 61&rsquor;,1,0,Fleury,Home,NA,990,1,1,0,0,6,3,3,0,460,20,14,15,0.4,0.4,0.3,10,2,209,300,69.7,13,194,6,18,7
Championnat de France de Football Féminin,2024-02-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,0.4,Dominika Grabowska · 19&rsquor;,3,0,Paris Saint-Germain,4-5-1,1,2.6,Sakina Karchaoui · 61&rsquor;,1,0,Paris Saint-Germain,Away,NA,990,1,1,0,0,24,12,1,0,725,21,9,8,2.9,2.9,1.8,41,2,506,608,83.2,69,517,28,28,15
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,4,1.9,Inès Benyahia · 18&rsquor; Silke Demeyere · 27&rsquor; Nadjma Ali Nadjim · 53&rsquor; Christy Gavory · 73&rsquor;,1,0,Saint-Étienne,4-2-3-1,2,0.5,Amandine Pierre-Louis · 62&rsquor; Alexandria Lamontagne · 90+2&rsquor;,1,0,Le Havre,Home,NA,990,4,4,0,0,9,6,1,0,664,18,11,13,1.9,1.9,1.9,16,8,447,546,81.9,29,471,10,13,6
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,4,1.9,Inès Benyahia · 18&rsquor; Silke Demeyere · 27&rsquor; Nadjma Ali Nadjim · 53&rsquor; Christy Gavory · 73&rsquor;,1,0,Saint-Étienne,4-2-3-1,2,0.5,Amandine Pierre-Louis · 62&rsquor; Alexandria Lamontagne · 90+2&rsquor;,1,0,Saint-Étienne,Away,NA,990,2,1,0,0,6,5,1,0,601,11,8,8,0.5,0.5,0.4,10,4,408,522,78.2,29,281,11,14,8
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,1,1,Klaudia Jedlińska · 2&rsquor;,0,0,Montpellier,4-1-4-1,0,0.6,NA,0,0,Dijon,Home,NA,990,1,1,0,0,11,5,0,0,521,29,26,10,1,1,0.9,17,2,252,383,65.8,36,269,16,25,9
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Dijon,4-2-3-1,1,1,Klaudia Jedlińska · 2&rsquor;,0,0,Montpellier,4-1-4-1,0,0.6,NA,0,0,Montpellier,Away,NA,990,0,0,0,0,8,0,0,0,642,22,20,19,0.6,0.6,0.6,15,0,382,512,74.6,48,165,10,30,16
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3.1,Eugénie Le Sommer · 13&rsquor; Eugénie Le Sommer · 18&rsquor; Sara Däbritz · 34&rsquor; Ada Hegerberg · 49&rsquor;,0,0,Stade de Reims,4-4-1-1,1,0.5,Shana Chossenotte · 45&rsquor;,1,0,Lyon,Home,NA,990,4,2,0,0,27,12,0,0,828,21,9,18,3.2,3.2,2.5,49,6,595,700,85,92,492,18,21,9
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,3.1,Eugénie Le Sommer · 13&rsquor; Eugénie Le Sommer · 18&rsquor; Sara Däbritz · 34&rsquor; Ada Hegerberg · 49&rsquor;,0,0,Stade de Reims,4-4-1-1,1,0.5,Shana Chossenotte · 45&rsquor;,1,0,Stade de Reims,Away,NA,990,1,1,0,0,2,2,1,0,380,21,15,13,0.5,0.5,0.5,4,2,143,243,58.8,9,141,8,11,4
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,2.2,Laura Bourgouin · 36&rsquor;,1,0,Guingamp,5-4-1,1,0.4,Antonie Stárová · 8&rsquor;,2,0,Bordeaux,Home,NA,990,1,1,0,0,15,5,1,0,603,29,12,14,2.3,2.3,2.2,25,1,337,473,71.2,41,297,15,22,9
Championnat de France de Football Féminin,2024-02-03,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,1,2.2,Laura Bourgouin · 36&rsquor;,1,0,Guingamp,5-4-1,1,0.4,Antonie Stárová · 8&rsquor;,2,0,Guingamp,Away,NA,990,1,1,0,0,4,1,2,0,411,21,12,14,0.4,0.4,0.4,7,2,160,303,52.8,19,127,10,20,7
Championnat de France de Football Féminin,2024-02-04,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,3.4,Kaja Korošec · 70&rsquor; Kessya Bussy · 76&rsquor; Kaja Korošec · 90+6&rsquor;,3,0,Lille,4-4-2,2,0.8,Anaïs Ribeyra · 65&rsquor; Lorena Azzaro · 71&rsquor;,1,0,Paris FC,Home,NA,990,3,3,0,0,21,10,3,0,693,23,10,11,3.5,3.5,3,37,5,436,589,74,79,339,13,28,10
Championnat de France de Football Féminin,2024-02-04,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,3.4,Kaja Korošec · 70&rsquor; Kessya Bussy · 76&rsquor; Kaja Korošec · 90+6&rsquor;,3,0,Lille,4-4-2,2,0.8,Anaïs Ribeyra · 65&rsquor; Lorena Azzaro · 71&rsquor;,1,0,Lille,Away,NA,990,2,2,0,0,7,3,1,0,448,33,22,23,0.8,0.8,0.8,13,3,169,302,56,16,216,8,16,4
Championnat de France de Football Féminin,2024-02-09,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,0,0.3,NA,2,0,Montpellier,4-5-1,3,3.3,Faustine Robert · 19&rsquor; Soufiya Ngueleu · 62&rsquor; Lea Khelifi · 90+2&rsquor;,1,0,Stade de Reims,Home,NA,990,0,0,0,0,5,2,2,0,552,27,16,15,0.3,0.3,0.3,9,0,251,374,67.1,33,226,13,32,13
Championnat de France de Football Féminin,2024-02-09,Championnat de France de Football Féminin (Regular season),Stade de Reims,4-2-3-1,0,0.3,NA,2,0,Montpellier,4-5-1,3,3.3,Faustine Robert · 19&rsquor; Soufiya Ngueleu · 62&rsquor; Lea Khelifi · 90+2&rsquor;,1,0,Montpellier,Away,NA,990,3,1,0,0,20,6,1,0,589,32,20,10,3.9,3.9,2.4,35,3,327,461,70.9,31,275,9,23,13
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,2,1.8,Hillary Diaz · 16&rsquor; Abi Kim · 29&rsquor;,1,0,Paris FC,4-2-3-1,6,3.2,Daphne Corboz · 27&rsquor; Julie Dufour · 48&rsquor; Clara Matéo · 49&rsquor; Clara Matéo · 52&rsquor; Julie Dufour · 68&rsquor; Clara Matéo · 72&rsquor;,1,0,Bordeaux,Home,NA,990,2,0,0,0,7,3,1,0,426,15,12,11,1.8,1.8,0.5,14,4,203,320,63.4,19,154,13,12,6
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Bordeaux,4-3-3,2,1.8,Hillary Diaz · 16&rsquor; Abi Kim · 29&rsquor;,1,0,Paris FC,4-2-3-1,6,3.2,Daphne Corboz · 27&rsquor; Julie Dufour · 48&rsquor; Clara Matéo · 49&rsquor; Clara Matéo · 52&rsquor; Julie Dufour · 68&rsquor; Clara Matéo · 72&rsquor;,1,0,Paris FC,Away,NA,990,6,4,0,0,18,9,1,0,591,12,7,5,3.2,3.2,2.7,28,10,380,495,76.8,60,335,17,15,6
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,2,3.8,Noémie Carage · 59&rsquor; Cindy Caputo · 87&rsquor;,3,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Saint-Étienne,Home,NA,990,2,1,0,0,15,6,3,0,515,15,17,8,3.9,3.9,3.3,28,4,272,388,70.1,25,310,16,24,10
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,2,3.8,Noémie Carage · 59&rsquor; Cindy Caputo · 87&rsquor;,3,0,Dijon,4-2-3-1,0,0.2,NA,2,0,Dijon,Away,NA,990,0,0,0,0,5,2,2,0,528,20,7,6,0.2,0.2,0.1,9,0,296,428,69.2,36,158,12,17,9
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,3,1.5,Anaïs Ribeyra · 25&rsquor; Julie Machart · 48&rsquor; Julie Pian · 57&rsquor;,3,0,Le Havre,4-1-4-1,3,2.1,Romane Enguehard · 4&rsquor; Mickaélla Cardia · 45&rsquor; Inès Benyahia (P) · 86&rsquor;,1,0,Lille,Home,NA,990,3,0,0,0,7,5,3,0,397,14,16,5,1.5,1.5,0.1,7,3,188,318,59.1,13,148,11,9,7
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,3,1.5,Anaïs Ribeyra · 25&rsquor; Julie Machart · 48&rsquor; Julie Pian · 57&rsquor;,3,0,Le Havre,4-1-4-1,3,2.1,Romane Enguehard · 4&rsquor; Mickaélla Cardia · 45&rsquor; Inès Benyahia (P) · 86&rsquor;,1,0,Le Havre,Away,NA,990,3,1,1,1,13,9,1,0,481,19,14,6,2.1,1.3,0.8,23,5,252,384,65.6,32,273,10,20,11
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,3,1.8,Sarah Cambot · 45&rsquor; Antonie Stárová (P) · 48&rsquor; Alison Peniguel · 73&rsquor;,5,0,Fleury,4-2-3-1,1,1.6,Airine Fontaine · 88&rsquor;,3,0,Guingamp,Home,NA,990,3,1,1,1,11,5,5,0,378,7,4,14,1.9,1.2,0.9,17,5,159,274,58,23,116,7,2,1
Championnat de France de Football Féminin,2024-02-10,Championnat de France de Football Féminin (Regular season),Guingamp,4-4-2,3,1.8,Sarah Cambot · 45&rsquor; Antonie Stárová (P) · 48&rsquor; Alison Peniguel · 73&rsquor;,5,0,Fleury,4-2-3-1,1,1.6,Airine Fontaine · 88&rsquor;,3,0,Fleury,Away,NA,990,1,1,0,0,23,5,3,0,593,7,5,8,1.6,1.6,1,41,2,385,512,75.2,52,314,15,11,9
Championnat de France de Football Féminin,2024-02-11,Championnat de France de Football Féminin (Regular season),Lyon,4-2-3-1,1,1.2,Élisa De Almeida (OG) · 90&rsquor;,2,0,Paris Saint-Germain,3-4-1-2,1,0.8,Tabitha Chawinga · 66&rsquor;,3,0,Lyon,Home,NA,990,0,0,0,0,12,6,2,0,535,28,9,14,1.3,1.3,1.2,22,0,302,413,73.1,57,338,7,22,11
Championnat de France de Football Féminin,2024-02-11,Championnat de France de Football Féminin (Regular season),Lyon,4-2-3-1,1,1.2,Élisa De Almeida (OG) · 90&rsquor;,2,0,Paris Saint-Germain,3-4-1-2,1,0.8,Tabitha Chawinga · 66&rsquor;,3,0,Paris Saint-Germain,Away,NA,990,1,1,0,0,4,2,3,0,623,29,14,15,0.8,0.8,0.8,6,1,385,496,77.6,33,437,12,19,6
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,5,3,Élisa De Almeida · 3&rsquor; Tabitha Chawinga · 30&rsquor; Grace Geyoro · 69&rsquor; Maïwen Renard (OG) · 75&rsquor; Grace Geyoro · 87&rsquor;,1,0,Guingamp,3-5-2,0,0.2,NA,0,0,Paris Saint-Germain,Home,NA,990,4,4,0,0,23,9,1,0,726,12,10,7,3,3,2.3,41,8,552,636,86.8,58,523,29,23,13
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-5-2,5,3,Élisa De Almeida · 3&rsquor; Tabitha Chawinga · 30&rsquor; Grace Geyoro · 69&rsquor; Maïwen Renard (OG) · 75&rsquor; Grace Geyoro · 87&rsquor;,1,0,Guingamp,3-5-2,0,0.2,NA,0,0,Guingamp,Away,NA,990,0,0,0,0,3,1,0,0,351,15,6,11,0.2,0.2,0.2,5,0,165,258,64,11,127,2,3,0
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,4,3.3,Amanda Uju · 40&rsquor; Cindy Caputo · 69&rsquor; Solene Champagnac · 84&rsquor; Phornetia Browne · 86&rsquor;,2,0,Stade de Reims,4-2-3-1,3,2.5,Charlène Meyong · 32&rsquor; Noémie Mouchon · 51&rsquor; Anaele Le Moguedec · 77&rsquor;,1,0,Saint-Étienne,Home,NA,990,3,1,0,1,12,5,2,0,563,14,11,16,3.4,2.5,1.4,18,3,335,447,74.9,39,370,15,27,13
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Saint-Étienne,4-2-3-1,4,3.3,Amanda Uju · 40&rsquor; Cindy Caputo · 69&rsquor; Solene Champagnac · 84&rsquor; Phornetia Browne · 86&rsquor;,2,0,Stade de Reims,4-2-3-1,3,2.5,Charlène Meyong · 32&rsquor; Noémie Mouchon · 51&rsquor; Anaele Le Moguedec · 77&rsquor;,1,0,Stade de Reims,Away,NA,990,3,3,0,0,10,5,1,0,479,25,14,7,2.5,2.5,2.3,15,4,239,342,69.9,18,255,14,17,8
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,1,1.5,Nadjma Ali Nadjim · 88&rsquor;,1,0,Bordeaux,4-3-3,1,1.4,Laura Bourgouin (P) · 73&rsquor;,1,0,Le Havre,Home,NA,990,1,1,0,0,19,9,1,0,661,13,16,10,1.5,1.5,1.1,32,2,443,565,78.4,50,469,11,11,8
Championnat de France de Football Féminin,2024-02-17,Championnat de France de Football Féminin (Regular season),Le Havre,4-1-4-1,1,1.5,Nadjma Ali Nadjim · 88&rsquor;,1,0,Bordeaux,4-3-3,1,1.4,Laura Bourgouin (P) · 73&rsquor;,1,0,Bordeaux,Away,NA,990,1,0,1,1,9,3,1,0,524,6,24,11,1.4,0.6,0.4,18,2,292,401,72.8,19,231,13,15,8
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,3.5,Ewelina Kamczyk · 53&rsquor;,2,0,Stade de Reims,4-1-4-1,0,0.3,NA,1,0,Fleury,Home,NA,990,1,1,0,0,25,10,2,0,588,26,9,17,3.7,3.7,3.3,45,2,333,450,74,47,338,17,28,14
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Fleury,4-2-3-1,1,3.5,Ewelina Kamczyk · 53&rsquor;,2,0,Stade de Reims,4-1-4-1,0,0.3,NA,1,0,Stade de Reims,Away,NA,990,0,0,0,0,3,1,1,0,552,24,18,14,0.3,0.3,0.3,6,0,294,419,70.2,25,246,11,23,10
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-4-3,4,2.3,Jade Le Guilly · 44&rsquor; Tabitha Chawinga · 46&rsquor; Tabitha Chawinga · 75&rsquor; Amalie Vangsgaard · 78&rsquor;,3,0,Le Havre,4-1-4-1,0,0.1,NA,0,0,Paris Saint-Germain,Home,NA,990,4,4,0,0,21,11,3,0,772,12,13,6,2.3,2.3,1.9,38,5,589,671,87.8,56,541,17,28,16
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Paris Saint-Germain,3-4-3,4,2.3,Jade Le Guilly · 44&rsquor; Tabitha Chawinga · 46&rsquor; Tabitha Chawinga · 75&rsquor; Amalie Vangsgaard · 78&rsquor;,3,0,Le Havre,4-1-4-1,0,0.1,NA,0,0,Le Havre,Away,NA,990,0,0,0,0,4,2,0,0,372,23,11,10,0.1,0.1,0,6,0,189,288,65.6,18,135,7,6,3
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.6,NA,2,0,Guingamp,4-4-2,2,1.9,Antonie Stárová (P) · 52&rsquor; Sabitra Bhandari · 90+1&rsquor;,1,0,Lille,Home,NA,990,0,0,0,0,17,7,2,0,541,20,12,13,0.6,0.6,0.5,27,0,288,412,69.9,39,151,13,17,10
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Lille,4-2-3-1,0,0.6,NA,2,0,Guingamp,4-4-2,2,1.9,Antonie Stárová (P) · 52&rsquor; Sabitra Bhandari · 90+1&rsquor;,1,0,Guingamp,Away,NA,990,2,1,1,1,11,4,1,0,470,24,22,14,1.9,1.1,0.9,18,4,199,331,60.1,20,228,12,14,2
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Montpellier,4-1-4-1,2,2.4,Nérilia Mondésir · 69&rsquor; Faustine Robert · 73&rsquor;,1,0,Bordeaux,5-3-2,1,0.4,Carla Lecaille · 53&rsquor;,0,0,Montpellier,Home,NA,990,2,1,0,0,14,4,1,0,745,23,15,10,2.4,2.4,2.4,21,3,511,637,80.2,40,477,14,22,10
Championnat de France de Football Féminin,2024-03-02,Championnat de France de Football Féminin (Regular season),Montpellier,4-1-4-1,2,2.4,Nérilia Mondésir · 69&rsquor; Faustine Robert · 73&rsquor;,1,0,Bordeaux,5-3-2,1,0.4,Carla Lecaille · 53&rsquor;,0,0,Bordeaux,Away,NA,990,1,1,0,0,8,1,0,0,481,22,12,12,0.4,0.4,0.4,11,2,243,369,65.9,27,268,16,18,8
Championnat de France de Football Féminin,2024-03-03,Championnat de France de Football Féminin (Regular season),Dijon,5-4-1,1,0.3,Lena Goetsch · 38&rsquor;,0,0,Lyon,4-3-3,3,3.2,Sara Däbritz · 6&rsquor; Ada Hegerberg · 44&rsquor; Sara Däbritz · 90&rsquor;,1,0,Dijon,Home,NA,990,1,1,0,0,5,3,0,0,368,19,12,18,0.3,0.3,0.3,8,2,130,255,51,5,132,4,11,5
Championnat de France de Football Féminin,2024-03-03,Championnat de France de Football Féminin (Regular season),Dijon,5-4-1,1,0.3,Lena Goetsch · 38&rsquor;,0,0,Lyon,4-3-3,3,3.2,Sara Däbritz · 6&rsquor; Ada Hegerberg · 44&rsquor; Sara Däbritz · 90&rsquor;,1,0,Lyon,Away,NA,990,3,2,0,0,25,6,1,0,893,16,10,11,3.4,3.4,3.2,43,4,647,775,83.5,79,642,29,25,12
Championnat de France de Football Féminin,2024-03-06,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,1.8,Louna Ribadeira · 61&rsquor; Louna Ribadeira · 67&rsquor; Louna Ribadeira · 89&rsquor;,1,0,Le Havre,4-4-2,2,2.2,Inès Benyahia · 16&rsquor; Inès Benyahia · 45&rsquor;,1,0,Paris FC,Home,NA,990,3,3,0,0,10,6,1,0,591,18,4,18,1.9,1.9,1.9,17,5,367,504,72.8,60,328,21,11,10
Championnat de France de Football Féminin,2024-03-06,Championnat de France de Football Féminin (Regular season),Paris FC,4-2-3-1,3,1.8,Louna Ribadeira · 61&rsquor; Louna Ribadeira · 67&rsquor; Louna Ribadeira · 89&rsquor;,1,0,Le Havre,4-4-2,2,2.2,Inès Benyahia · 16&rsquor; Inès Benyahia · 45&rsquor;,1,0,Le Havre,Away,NA,990,2,1,0,1,16,6,1,0,582,14,13,10,2.2,1.4,1,26,2,346,477,72.5,31,375,22,11,7
Championnat de France de Football Féminin,2024-03-15,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,1.4,Sara Däbritz · 10&rsquor; Griedge Mbock Bathy · 13&rsquor; Sara Däbritz · 83&rsquor; Melchie Dumornay · 86&rsquor;,3,0,Fleury,4-3-3,0,0.1,NA,4,0,Lyon,Home,NA,990,4,2,0,0,20,10,3,0,668,13,10,10,1.4,1.4,1,39,8,459,553,83,63,288,7,19,11
Championnat de France de Football Féminin,2024-03-15,Championnat de France de Football Féminin (Regular season),Lyon,4-3-3,4,1.4,Sara Däbritz · 10&rsquor; Griedge Mbock Bathy · 13&rsquor; Sara Däbritz · 83&rsquor; Melchie Dumornay · 86&rsquor;,3,0,Fleury,4-3-3,0,0.1,NA,4,0,Fleury,Away,NA,990,0,0,0,0,3,2,4,0,370,18,7,11,0.1,0.1,0.1,6,0,178,289,61.6,19,164,5,7,2
