match_id,home_team,away_team,home_score,away_score,date,league,round,finished
4863530,Eintracht Frankfurt,SGS Essen,5,0,2025-09-05T16:30:00.000Z,Frauen-Bundesliga,1,True
4863532,FC Köln,RB Leipzig,0,2,2025-09-06T12:00:00.000Z,Frauen-Bundesliga,1,True
4863527,Bayern München,Bayer Leverkusen,2,0,2025-09-06T15:45:00.000Z,Frauen-Bundesliga,1,True
4863529,Werder Bremen,Freiburg,1,1,2025-09-07T12:00:00.000Z,Frauen-Bundesliga,1,True
4863533,Hamburger SV,VfL Wolfsburg,3,3,2025-09-07T14:00:00.000Z,Frauen-Bundesliga,1,True
4863528,Union Berlin,Nürnberg,1,1,2025-09-07T16:30:00.000Z,Frauen-Bundesliga,1,True
4863531,FC Carl Zeiss Jena,TSG 1899 Hoffenheim,1,4,2025-09-08T16:00:00.000Z,Frauen-Bundesliga,1,True
4863535,Freiburg,FC Köln,1,0,2025-09-12T16:30:00.000Z,Frauen-Bundesliga,2,True
4863538,Nürnberg,Werder Bremen,1,4,2025-09-13T10:00:00.000Z,Frauen-Bundesliga,2,True
4863534,SGS Essen,Hamburger SV,0,0,2025-09-13T12:00:00.000Z,Frauen-Bundesliga,2,True
4863536,RB Leipzig,Bayern München,0,3,2025-09-14T12:00:00.000Z,Frauen-Bundesliga,2,True
4863539,VfL Wolfsburg,FC Carl Zeiss Jena,3,1,2025-09-14T14:00:00.000Z,Frauen-Bundesliga,2,True
4863540,TSG 1899 Hoffenheim,Eintracht Frankfurt,3,0,2025-09-14T16:30:00.000Z,Frauen-Bundesliga,2,True
4863537,Bayer Leverkusen,Union Berlin,3,2,2025-09-15T16:00:00.000Z,Frauen-Bundesliga,2,True
4863666,Freiburg,Hamburger SV,6,2,2025-09-19T16:30:00.000Z,Frauen-Bundesliga,3,True
4863541,Union Berlin,SGS Essen,2,0,2025-09-20T10:00:00.000Z,Frauen-Bundesliga,3,True
4863545,Bayern München,FC Carl Zeiss Jena,0,0,2025-09-20T12:00:00.000Z,Frauen-Bundesliga,3,True
4863542,Werder Bremen,TSG 1899 Hoffenheim,2,1,2025-09-21T12:00:00.000Z,Frauen-Bundesliga,3,True
4863546,Nürnberg,Bayer Leverkusen,0,1,2025-09-21T14:00:00.000Z,Frauen-Bundesliga,3,True
4863544,FC Köln,VfL Wolfsburg,1,2,2025-09-21T16:30:00.000Z,Frauen-Bundesliga,3,True
4863547,Eintracht Frankfurt,RB Leipzig,4,3,2025-09-22T16:00:00.000Z,Frauen-Bundesliga,3,True
4863549,Bayern München,Freiburg,4,0,2025-09-23T16:00:00.000Z,Frauen-Bundesliga,4,True
